"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini"
"159",5236,0,50,200,1,2,2,0
"160",2598,0,12,96,2,4,2,0
"161",740,0,6,24,2,2,1,0
"162",887,0,3,12,1,2,2,0
"163",2065,0,29,29,1,1,1,0
"164",1,0,26,52,1,1,1,0
"165",1994,0,13,52,1,2,2,0
"166",714,0,7,21,2,2,1,0
"167",194,0,4,4,1,1,1,0
"168",632,0,10,20,1,1,1,0
"169",458,0,5,10,1,1,1,0
"170",2412,0,13,52,1,2,2,0
"171",4115,0,70,140,1,2,2,0
"172",3057,0,25,75,2,2,1,0
"173",408,0,7,21,2,2,1,0
"174",1085,1,54,162,3,4,2,0.25
"175",958,0,8,32,2,2,1,0
"176",2747,0,30,120,1,2,2,0
"177",3687,1,80,320,1,2,2,0
"178",3122,0,24,72,2,2,1,0
"179",921,0,4,16,1,2,2,0
"180",968,0,3,12,2,2,1,0
"181",3598,0,15,90,2,3,2,0.17
"182",896,0,14,28,1,1,1,0
"183",2091,0,10,40,1,2,2,0
"184",3,0,18,18,1,1,1,0
"185",2183,0,15,60,1,2,2,0
"186",6953,0,30,150,2,4,2,0
"187",2740,0,12,48,1,2,2,0
"188",3,0,12,48,2,3,2,0.17
"189",5584,0,70,140,1,1,1,0
"190",1063,0,6,12,1,1,1,0
"191",3571,0,30,60,2,2,1,0
"192",1435,0,80,80,1,1,1,0
"193",174,0,6,12,1,1,1,0
"194",136,0,5,5,1,1,1,0
"195",24,0,3,18,1,1,1,0
"196",3089,0,36,144,1,2,2,0
"197",7897,1,76,152,2,2,1,0
"198",1522,0,24,48,1,2,2,0
"199",253,0,3,6,1,1,1,0
"200",2410,0,25,50,1,1,1,0
"201",3536,0,25,100,2,4,2,0
"202",649,0,10,20,1,1,1,0
"203",696,0,4,8,1,2,2,0
"204",3110,0,21,105,2,3,2,0.17
"205",576,0,13,26,1,1,1,0
"206",2521,0,30,90,2,3,2,0.17
"207",1745,0,12,48,1,2,2,0
"208",1003,0,5,20,1,2,2,0
"209",495,0,3,9,2,3,2,0.17
"210",395,0,6,12,1,1,1,0
"211",134,0,3,6,1,1,1,0
"212",1582,0,13,52,1,2,2,0
"213",189,0,3,9,2,2,1,0
"214",1,0,14,14,1,1,1,0
"215",1848,0,12,48,1,2,2,0
"216",420,0,8,16,1,2,2,0
"217",558,0,12,24,1,1,1,0
"218",2220,0,27,81,2,2,1,0
"219",4305,0,47,94,1,1,1,0
"220",324,0,3,12,1,2,2,0
"221",1293,1,100,200,1,1,1,0
"222",2119,0,29,87,2,2,1,0
"223",5178,0,30,120,1,2,2,0
"224",1703,0,20,100,4,4,1,0
"225",6229,0,36,288,2,4,2,0
"226",3710,0,30,120,2,4,2,0
"227",793,0,48,144,2,3,2,0.17
"228",733,0,8,16,1,2,2,0
"229",1578,0,14,56,1,2,2,0
"230",624,0,10,10,1,1,1,0
"231",1466,0,14,28,1,2,2,0
"232",8751,0,50,150,2,3,2,0.17
"233",1590,0,100,200,1,2,2,0
"234",8191,1,205,820,1,2,2,0
"235",2559,0,23,92,1,2,2,0
"236",2230,0,30,60,1,2,2,0
"237",836,0,6,18,1,1,1,0
"238",1097,0,16,16,1,1,1,0
"239",532,0,12,24,2,2,1,0
"240",809,0,12,24,1,2,2,0
"241",1511,0,5,30,2,3,2,0.17
"242",4105,0,33,66,1,1,1,0
"243",525,0,6,12,1,1,1,0
"244",3010,0,14,56,1,2,2,0
"245",2074,0,35,70,1,1,1,0
"246",3393,0,32,128,1,2,2,0
"247",5577,1,75,150,2,3,2,0.17
"248",875,0,12,24,1,1,1,0
"249",961,0,15,30,1,1,1,0
"250",7283,0,18,108,2,3,2,0.17
"251",2409,0,15,45,1,1,1,0
"252",472,0,6,12,1,1,1,0
"253",28,0,82,164,1,1,1,0
"254",717,0,4,8,1,2,2,0
"255",145,0,3,6,1,1,1,0
"256",1204,0,30,60,1,1,1,0
"257",2,0,8,8,1,1,1,0
"258",2215,0,31,124,3,3,1,0
"259",2,0,27,54,1,1,1,0
"260",6681,0,22,110,2,3,2,0.17
"261",1772,0,10,30,2,2,1,0
"262",2211,0,19,38,1,2,2,0
"263",222,0,5,10,1,1,1,0
"264",2119,0,7,42,1,2,2,0
"265",112,0,6,12,2,2,1,0
"266",1106,0,4,16,1,2,2,0
"267",596,0,6,12,1,1,1,0
"268",1023,0,12,24,1,2,2,0
"269",436,0,12,24,1,1,1,0
"270",1379,0,3,12,1,2,2,0
"271",463,0,9,18,1,1,1,0
"272",176,0,3,3,1,1,1,0
"273",2043,0,7,14,1,2,2,0
"274",2152,0,20,40,1,1,1,0
"275",580,0,8,24,3,3,1,0
"276",408,0,9,18,2,2,1,0
"277",402,0,4,8,1,1,1,0
"278",376,0,20,20,1,1,1,0
"279",498,0,3,9,2,3,2,0.17
"280",914,0,20,40,2,2,1,0
"281",4383,0,30,120,1,2,2,0
"282",210,0,4,8,1,1,1,0
"283",1322,0,15,15,1,1,1,0
"284",320,0,3,6,3,3,1,0
"285",1799,0,10,40,1,2,2,0
"286",1839,0,18,36,1,1,1,0
"287",178,0,3,3,1,1,1,0
"288",2,0,10,40,1,2,2,0
"289",9851,0,25,250,2,6,4,0.17
"290",643,0,19,19,1,1,1,0
"291",14,0,5,5,1,1,1,0
"292",1107,0,10,20,1,2,2,0
"293",1168,0,3,6,1,2,2,0
"294",247,0,5,10,1,1,1,0
"295",3046,0,10,80,2,4,3,0.17
"296",4075,1,150,150,1,1,1,0
"297",487,0,10,20,2,2,1,0
"298",17,0,30,120,1,2,2,0
"299",210,0,6,6,1,1,1,0
"300",2416,0,10,60,2,4,2,0
"301",375,0,5,15,1,1,1,0
"302",1107,0,5,10,1,1,1,0
"303",2920,1,70,140,2,4,2,0
"304",1582,0,6,24,1,2,2,0
"305",626,0,9,36,1,2,2,0
"306",4433,1,73,292,1,2,2,0
"307",6485,0,18,36,1,2,2,0
"308",1059,0,10,40,1,2,2,0
"309",411,0,3,3,1,1,1,0
"310",949,0,4,8,1,2,2,0
"311",5271,0,12,84,6,6,1,0
"312",518,0,8,16,2,2,1,0
"313",226,0,3,3,1,1,1,0
"314",595,0,9,36,1,2,2,0
"315",1410,0,50,50,1,1,1,0
"316",1204,0,6,6,1,1,1,0
"317",2593,0,14,56,2,4,2,0
"318",6,0,10,10,1,1,1,0
"319",1090,0,61,61,1,1,1,0
"320",1936,0,20,80,1,2,2,0
"321",1136,1,150,600,3,6,2,0
"322",2867,1,108,324,2,4,2,0
"323",1,0,10,20,1,2,2,0
"324",2948,1,69,138,1,2,2,0
"325",2,0,3,3,1,1,1,0
"326",790,0,6,18,2,2,1,0
"327",447,0,7,14,1,1,1,0
"328",1788,0,11,77,6,6,1,0
"329",405,0,4,16,1,2,2,0
"330",956,0,17,17,1,1,1,0
"331",5907,0,42,210,5,5,1,0
"332",2157,0,21,21,1,1,1,0
"333",1932,0,50,100,2,2,1,0
"334",290,0,8,16,2,2,1,0
"335",789,0,9,18,1,1,1,0
"336",215,0,3,6,1,1,1,0
"337",1165,0,25,50,1,1,1,0
"338",756,0,9,27,2,2,1,0
"339",2212,0,60,120,1,2,2,0
"340",6026,1,152,608,3,4,2,0.25
"341",5910,0,36,144,1,2,2,0
"342",1846,0,10,60,2,4,2,0
"343",928,0,14,28,1,1,1,0
"344",1930,0,15,60,2,2,1,0
"345",777,0,15,30,1,1,1,0
"346",5145,0,38,228,2,4,2,0
"347",2251,1,100,200,1,1,1,0
"348",2277,0,4,4,1,1,1,0
"349",2,0,3,12,1,2,2,0
"350",3687,0,35,140,3,3,1,0
"351",458,0,12,24,1,1,1,0
"352",1011,0,4,16,1,2,2,0
"353",335,0,10,10,1,1,1,0
"354",2225,0,26,104,3,3,1,0
"355",515,0,7,21,2,2,1,0
"356",2243,0,15,60,1,2,2,0
"357",587,0,17,34,2,2,1,0
"358",3609,0,19,76,1,2,2,0
