"","runtime","qty","totImps","totInks","maxInks","locs"
"221",2001,120,240,2,2,1
"222",3235,30,120,3,2,2
"224",4793,78,156,1,1,1
"225",3381,125,250,1,1,1
"226",925,75,150,2,1,2
"227",1880,25,100,2,1,2
"228",584,36,36,1,1,1
"230",3963,51,204,2,1,2
"231",713,70,70,1,1,1
"233",1704,50,100,2,1,2
"234",816,45,90,2,1,2
"235",1830,33,132,2,1,2
"236",754,35,35,1,1,1
"237",571,29,58,1,1,1
"238",1014,34,68,1,1,1
"239",1341,49,196,4,2,2
"240",1968,36,72,2,1,2
"241",5070,100,400,2,1,2
"242",1269,50,50,2,2,1
"243",2095,37,148,3,2,2
"244",1408,57,114,1,1,1
"245",4001,45,180,4,2,2
"246",4997,100,400,4,2,2
"247",1232,31,62,2,1,2
"248",2136,32,128,2,1,2
"249",6462,120,480,4,2,2
"251",1277,30,60,1,1,1
"252",3632,161,161,2,2,1
"253",768,31,62,1,1,1
"254",967,100,100,1,1,1
"255",739,54,54,2,2,1
"256",2060,30,120,2,1,2
"257",1620,150,300,1,1,1
"258",648,30,60,1,1,1
"259",2160,53,106,2,1,2
"260",3020,82,246,3,2,2
"261",2594,64,128,2,1,2
"262",1908,50,200,2,1,2
"263",1690,45,90,2,1,2
"264",1424,38,76,1,1,1
"265",351,40,80,2,2,1
"266",3279,31,124,3,2,2
"267",5462,120,240,2,1,2
"268",5381,175,525,4,2,2
"269",6784,43,258,4,3,2
"270",6473,100,300,2,1,2
"271",3149,105,315,3,2,2
"272",2548,30,120,2,1,2
"273",731,100,100,1,1,1
"274",4269,100,300,3,1,3
"275",2900,76,304,4,3,2
"276",373,50,50,1,1,1
"277",959,35,70,1,1,1
"278",1900,30,60,1,1,1
"279",930,35,70,1,1,1
"280",467,40,40,1,1,1
"281",2228,30,120,4,2,2
"282",441,44,44,1,1,1
"283",3544,70,140,2,1,2
"284",805,55,110,2,2,1
"285",2467,62,124,3,2,2
"286",3879,50,200,4,2,2
"287",2682,40,160,2,1,2
"288",1000,39,156,2,1,2
"289",724,34,68,1,1,1
"290",498,50,50,1,1,1
"291",963,60,120,1,1,1
"292",3211,30,120,2,1,2
"293",2040,73,219,2,1,2
"294",417,64,64,1,1,1
"295",838,47,47,1,1,1
"296",726,31,62,1,1,1
"297",468,45,90,1,1,1
"298",1093,30,60,2,1,2
"299",2071,50,200,2,1,2
"300",4070,50,200,2,1,2
"301",2781,42,84,2,2,1
"302",1219,52,208,2,1,2
"303",2837,115,230,2,1,2
"304",865,54,162,2,1,2
"305",1702,52,104,2,1,2
"306",868,85,170,4,2,2
"307",1381,60,120,1,1,1
"309",564,50,100,1,1,1
"310",1762,58,58,2,2,1
"311",364,40,40,2,1,2
"312",2065,40,80,1,1,1
"313",517,50,50,1,1,1
"314",3201,260,260,1,1,1
"315",2138,161,161,1,1,1
"316",6841,91,364,2,1,2
"317",1378,32,64,1,1,1
"318",2916,47,376,4,2,2
"319",1327,52,104,1,1,1
"320",4787,144,288,1,1,1
"321",2069,100,200,2,2,1
"322",1869,30,60,1,1,1
"323",3134,30,120,2,1,2
"325",5843,150,600,2,1,2
"326",1213,55,110,1,1,1
"327",591,37,37,2,2,1
"328",4570,79,316,2,1,2
"329",5867,57,228,2,1,2
"330",1046,50,50,1,1,1
"331",1002,80,80,1,1,1
"332",1241,50,100,1,1,1
"333",6129,140,280,2,1,2
"334",5242,55,220,2,1,2
"335",3416,100,200,1,1,1
"336",1568,75,75,1,1,1
"337",3667,70,280,2,1,2
"338",1697,60,120,2,2,1
"339",2475,85,170,2,2,1
"340",1927,41,164,4,3,2
"342",1657,51,204,2,1,2
"343",1606,45,180,2,1,2
"344",4326,100,200,2,2,1
"345",2502,177,177,1,1,1
"346",2578,53,212,3,2,2
"347",3163,50,100,1,1,1
"348",2697,135,135,1,1,1
"351",1599,66,132,2,1,2
"352",2403,100,200,4,2,2
"353",4983,85,340,2,1,2
"354",7785,80,320,2,1,2
"355",4582,80,320,2,1,2
"356",8227,200,800,4,2,2
"357",2405,50,100,2,2,1
"358",5857,44,176,2,1,2
"359",4239,61,183,3,3,1
"360",4944,50,200,2,1,2
"361",3176,75,150,2,1,2
"362",6498,120,480,2,1,2
"363",1990,51,204,3,2,2
"364",3317,55,220,3,2,2
"365",3626,40,160,2,1,2
"367",1513,72,144,2,1,2
"368",5237,120,240,1,1,1
"369",3630,95,190,4,2,2
"370",2719,100,200,1,1,1
"371",5203,100,400,4,1,4
"372",1336,80,160,2,1,2
"373",3218,44,176,3,2,2
"374",1885,99,198,1,1,1
"375",3849,70,280,2,1,2
"376",7513,100,400,2,1,2
"377",5552,129,258,2,1,2
"378",5813,200,600,5,4,2
"379",4851,154,308,2,1,2
"380",4120,57,228,4,2,2
"381",5252,110,220,5,5,1
"382",3918,55,220,2,1,2
"383",2378,115,345,3,2,2
"384",2081,60,240,3,2,2
"385",3414,101,505,4,3,2
"386",4540,100,400,2,1,2
"387",807,85,170,1,1,1
"388",2494,94,376,3,2,2
"389",3576,60,120,1,1,1
"390",2284,50,200,2,1,2
"391",1292,56,112,2,2,1
"392",3187,200,400,2,1,2
"395",6694,96,384,2,1,2
"396",8050,156,468,5,5,1
"397",7100,90,270,6,6,1
"399",2953,63,126,1,1,1
"400",4058,48,240,3,2,2
"401",3782,180,720,4,2,2
"403",3023,48,192,4,3,2
"404",1737,54,270,3,2,2
"405",4043,100,200,2,2,1
"406",1668,120,240,2,1,2
"407",3987,153,459,4,2,3
"409",3955,81,162,1,1,1
"410",6222,150,300,2,2,1
"413",1592,83,83,1,1,1
"414",7323,100,400,4,2,2
"415",4978,205,615,2,2,1
"416",3224,80,160,1,1,1
"417",1858,100,300,3,2,2
"418",3666,156,312,1,1,1
"419",442,50,100,3,2,2
"420",1743,60,60,1,1,1
"421",3874,100,600,4,2,2
"422",4503,60,240,2,1,2
"423",4019,50,200,2,1,2
"424",3440,50,100,1,1,1
"425",6699,100,400,2,1,2
"426",3253,40,160,4,3,2
"427",6106,129,258,4,2,2
"428",5797,102,408,2,1,2
"429",2480,85,170,1,1,1
"430",1215,50,150,4,3,2
"431",2221,80,320,4,3,2
"432",2393,100,400,2,1,2
"433",1968,50,200,2,1,2
"434",6722,250,500,2,1,2
"436",6974,60,240,2,1,2
"437",4723,155,310,2,2,1
"438",4869,50,200,2,1,2
"439",1608,58,116,3,3,1
