"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"70",651,0,12,24,1,1,"1",0,54.25,27.125,0.0833333333333333
"71",1083,0,14,28,1,2,"2",0,77.3571428571429,38.6785714285714,0.142857142857143
"72",1573,0,15,60,1,2,"2",0,104.866666666667,26.2166666666667,0.133333333333333
"73",9388,0,42,420,4,8,"2",0,223.52380952381,22.352380952381,0.19047619047619
"74",1421,0,30,60,1,1,"1",0,47.3666666666667,23.6833333333333,0.0333333333333333
"75",5236,0,50,200,1,2,"2",0,104.72,26.18,0.04
"76",2598,0,12,96,2,4,"2",0,216.5,27.0625,0.333333333333333
"77",740,0,6,24,2,2,"1",0,123.333333333333,30.8333333333333,0.333333333333333
"78",1994,0,13,52,1,2,"2",0,153.384615384615,38.3461538461538,0.153846153846154
"79",714,0,7,21,2,2,"1",0,102,34,0.285714285714286
"80",194,0,4,4,1,1,"1",0,48.5,48.5,0.25
"81",632,0,10,20,1,1,"1",0,63.2,31.6,0.1
"82",458,0,5,10,1,1,"1",0,91.6,45.8,0.2
"83",2412,0,13,52,1,2,"2",0,185.538461538462,46.3846153846154,0.153846153846154
"84",4115,0,70,140,1,2,"2",0,58.7857142857143,29.3928571428571,0.0285714285714286
"85",3057,0,25,75,2,2,"1",0,122.28,40.76,0.08
"86",958,0,8,32,2,2,"1",0,119.75,29.9375,0.25
"87",2747,0,30,120,1,2,"2",0,91.5666666666667,22.8916666666667,0.0666666666666667
"88",3122,0,24,72,2,2,"1",0,130.083333333333,43.3611111111111,0.0833333333333333
"89",3598,0,15,90,2,3,"2",0.17,239.866666666667,39.9777777777778,0.2
"90",896,0,14,28,1,1,"1",0,64,32,0.0714285714285714
"91",2091,0,10,40,1,2,"2",0,209.1,52.275,0.2
"92",2183,0,15,60,1,2,"2",0,145.533333333333,36.3833333333333,0.133333333333333
"93",6953,0,30,150,2,4,"2",0,231.766666666667,46.3533333333333,0.133333333333333
"94",5584,0,70,140,1,1,"1",0,79.7714285714286,39.8857142857143,0.0142857142857143
"95",136,0,5,5,1,1,"1",0,27.2,27.2,0.2
"96",1522,0,24,48,1,2,"2",0,63.4166666666667,31.7083333333333,0.0833333333333333
"97",253,0,3,6,1,1,"1",0,84.3333333333333,42.1666666666667,0.333333333333333
"98",2410,0,25,50,1,1,"1",0,96.4,48.2,0.04
"99",3536,0,25,100,2,4,"2",0,141.44,35.36,0.16
"100",649,0,10,20,1,1,"1",0,64.9,32.45,0.1
"101",3110,0,21,105,2,3,"2",0.17,148.095238095238,29.6190476190476,0.142857142857143
"102",576,0,13,26,1,1,"1",0,44.3076923076923,22.1538461538462,0.0769230769230769
"103",2521,0,30,90,2,3,"2",0.17,84.0333333333333,28.0111111111111,0.1
"104",1745,0,12,48,1,2,"2",0,145.416666666667,36.3541666666667,0.166666666666667
"105",1003,0,5,20,1,2,"2",0,200.6,50.15,0.4
"106",495,0,3,9,2,3,"2",0.17,165,55,1
"107",395,0,6,12,1,1,"1",0,65.8333333333333,32.9166666666667,0.166666666666667
"108",134,0,3,6,1,1,"1",0,44.6666666666667,22.3333333333333,0.333333333333333
"109",1582,0,13,52,1,2,"2",0,121.692307692308,30.4230769230769,0.153846153846154
"110",1848,0,12,48,1,2,"2",0,154,38.5,0.166666666666667
"111",420,0,8,16,1,2,"2",0,52.5,26.25,0.25
"112",558,0,12,24,1,1,"1",0,46.5,23.25,0.0833333333333333
"113",2220,0,27,81,2,2,"1",0,82.2222222222222,27.4074074074074,0.0740740740740741
"114",4305,0,47,94,1,1,"1",0,91.5957446808511,45.7978723404255,0.0212765957446809
"115",324,0,3,12,1,2,"2",0,108,27,0.666666666666667
"116",2119,0,29,87,2,2,"1",0,73.0689655172414,24.3563218390805,0.0689655172413793
"117",5178,0,30,120,1,2,"2",0,172.6,43.15,0.0666666666666667
"118",3710,0,30,120,2,4,"2",0,123.666666666667,30.9166666666667,0.133333333333333
"119",733,0,8,16,1,2,"2",0,91.625,45.8125,0.25
"120",1578,0,14,56,1,2,"2",0,112.714285714286,28.1785714285714,0.142857142857143
"121",1466,0,14,28,1,2,"2",0,104.714285714286,52.3571428571429,0.142857142857143
"122",2559,0,23,92,1,2,"2",0,111.260869565217,27.8152173913043,0.0869565217391304
"123",2230,0,30,60,1,2,"2",0,74.3333333333333,37.1666666666667,0.0666666666666667
"124",836,0,6,18,1,1,"1",0,139.333333333333,46.4444444444444,0.166666666666667
"125",532,0,12,24,2,2,"1",0,44.3333333333333,22.1666666666667,0.166666666666667
"126",809,0,12,24,1,2,"2",0,67.4166666666667,33.7083333333333,0.166666666666667
"127",1511,0,5,30,2,3,"2",0.17,302.2,50.3666666666667,0.6
"128",525,0,6,12,1,1,"1",0,87.5,43.75,0.166666666666667
"129",3010,0,14,56,1,2,"2",0,215,53.75,0.142857142857143
