tab_score_reg,dopasPerTab,totInksPerTab,tot_imps_per_tab,stationTypeId,idx,oID,maxInksPerTab,gini,tab_score_weighted,tabID,qtyPerTab,runTime
1,1,1,6,2,1141,267474,1,0,6,80297,3,422
2,2,2,36,2,1142,267475,1,0,72,80298,9,961
1,1,1,80,1,1143,267478,1,0,80,80301,40,673
1.41,1,2,10,2,1144,267479,2,0,14.14,80302,5,268
1,1,1,30,2,1145,267482,1,0,30,80305,30,489
1,1,1,20,2,1146,267495,1,0,20,80322,10,1589
2.83,2,4,72,2,1147,267503,2,0,203.65,80331,12,3517
2.45,2,3,40,2,1148,267508,2,0.17,97.98,80336,8,0
2,2,2,100,2,1149,267514,1,0,200,80344,25,4483
1,1,1,6,2,1150,267516,1,0,6,80346,3,314
2,2,2,232,1,1151,267520,1,0,464,80351,58,4322
3.74,2,7,160,2,1152,267523,6,0.36,598.67,80354,20,2754
1.73,1,3,68,2,1153,267524,3,0,117.78,80355,17,1915
2.83,2,4,400,1,1154,267525,3,0.25,1131.37,80356,200,6754
1.41,1,2,26,2,1155,267528,2,0,36.77,80359,13,2
1,1,1,68,2,1156,267529,1,0,68,80360,34,2357
2,2,2,80,2,1157,267534,1,0,160,80365,20,4095
1.73,1,3,150,1,1158,267536,3,0,259.81,80367,50,3817
1.41,1,1,60,2,1159,267541,1,0,84.85,80372,30,3465
1.41,1,2,40,2,1160,267542,2,0,56.57,80373,20,1033
2,2,2,30,2,1161,267543,1,0,60,80374,5,1420
1,1,1,10,2,1162,267546,1,0,10,80378,10,194
2,2,2,70,2,1163,267550,1,0,140,80389,35,2977
2,2,2,100,2,1164,267551,1,0,200,80390,25,2897
2,2,2,40,2,1165,267553,1,0,80,80395,10,1627
2.83,2,4,120,2,1166,267558,2,0,339.41,80402,20,2
1,1,1,40,2,1167,267560,1,0,40,80404,20,2031
2,1,2,12,2,1168,267561,2,0,24,80405,4,3618
1,1,1,7,2,1169,267564,1,0,7,80408,7,1
3,3,3,250,1,1170,267566,1,0,750,80410,50,3926
2,2,2,20,2,1171,267577,1,0,40,80421,5,2
1.41,1,2,36,2,1172,267585,2,0,50.91,80429,9,1282
2,2,2,8,2,1173,267587,1,0,16,80432,4,606
1,1,1,3,2,1174,267591,1,0,3,80436,3,445
1,1,1,60,2,1175,267604,1,0,60,80450,30,1107
1,1,1,36,2,1176,267610,1,0,36,80456,12,609
1,1,1,40,2,1177,267612,1,0,40,80458,20,803
1,1,1,12,2,1178,267613,1,0,12,80459,12,415
2,2,2,26,2,1179,267615,1,0,52,80461,13,1540
1,1,1,3,2,1180,267616,1,0,3,80462,3,246
2,2,2,100,2,1181,267617,1,0,200,80463,25,2263
1.73,1,3,24,2,1182,267620,3,0,41.57,80466,6,2
2.83,2,4,156,2,1183,267622,3,0.25,441.24,80468,26,3958
1.41,1,2,15,2,1184,267623,2,0,21.21,80469,5,1
2,2,2,20,2,1185,267625,1,0,40,80471,5,1182
2,2,2,32,2,1186,267627,1,0,64,80474,8,968
1.41,1,1,42,2,1187,267630,1,0,59.4,80477,21,888
1.41,1,1,29,2,1188,267631,1,0,41.01,80478,29,919
1.41,1,2,15,2,1189,267633,2,0,21.21,80480,5,2
1.41,1,1,26,2,1190,267635,1,0,36.77,80482,13,908
2,2,2,120,2,1191,267645,1,0,240,80493,30,2
1.41,1,2,40,2,1192,267646,2,0,56.57,80494,10,1483
2,2,2,24,2,1193,267647,1,0,48,80495,12,1
1,1,1,16,2,1194,267658,1,0,16,80506,8,1
1.41,1,1,6,2,1195,267659,1,0,8.49,80507,3,3
2,2,2,60,2,1196,267663,1,0,120,80512,15,2
2,2,2,28,2,1197,267665,1,0,56,80514,7,2137
1,1,1,3,2,1198,267666,1,0,3,80515,3,101
1,1,1,52,2,1199,267668,1,0,52,80518,26,1270
2.83,2,4,18,2,1200,267672,2,0,50.91,80522,3,853
1,1,1,40,2,1201,267674,1,0,40,80529,20,1400
2,2,2,104,2,1202,267675,1,0,208,80525,26,2490
1,1,1,100,1,1203,267676,1,0,100,80526,100,1763
1.41,1,2,36,2,1204,267678,2,0,50.91,80528,12,1
1.41,1,2,20,2,1205,267686,2,0,28.28,80541,10,2
1.73,1,3,81,2,1206,267700,3,0,140.3,80557,27,2834
1.41,1,2,36,2,1207,267701,2,0,50.91,80558,12,1983
1,1,1,14,2,1208,267706,1,0,14,80564,7,872
2.83,2,4,144,2,1209,267708,2,0,407.29,80566,36,3912
1,1,1,12,2,1210,267709,1,0,12,80567,12,1273
2,2,2,80,2,1211,267710,1,0,160,80568,40,1
1,1,1,25,2,1212,267711,1,0,25,80569,25,2036
2.83,1,4,174,2,1213,267716,4,0,492.15,80574,29,15767
1,1,1,90,2,1214,267717,1,0,90,80575,45,2624
1,1,1,22,2,1215,267719,1,0,22,80577,11,1068
1,1,1,10,2,1216,267726,1,0,10,80584,5,1542
1,1,1,145,1,1217,267729,1,0,145,80589,145,54964
1.41,1,2,128,2,1218,267736,2,0,181.02,80599,32,3613
2,2,2,28,2,1219,267737,1,0,56,80600,7,1458
2,2,2,52,2,1220,267748,1,0,104,80616,13,1777
1.41,1,1,48,2,1221,267750,1,0,67.88,80618,48,2
2.45,2,3,63,2,1222,267756,2,0.17,154.32,80624,21,5142
1,1,1,24,2,1223,267757,1,0,24,80625,12,3
1,1,1,6,2,1224,267759,1,0,6,80627,3,224
2,2,2,82,2,1225,267764,1,0,164,80633,41,1500
2,2,2,18,2,1226,267768,1,0,36,80637,9,1062
1,1,1,17,2,1227,267769,1,0,17,80638,17,3
2,2,2,28,2,1228,267778,1,0,56,80647,7,1411
1,1,1,8,2,1229,267782,1,0,8,80651,8,403
2,2,2,12,2,1230,267784,1,0,24,80653,3,683
1,1,1,6,2,1231,267785,1,0,6,80654,3,11
1,1,1,48,2,1232,267786,1,0,48,80655,24,1
1.41,1,2,116,2,1233,267789,2,0,164.05,80658,29,3564
2,2,2,900,1,1234,267790,1,0,1800,80659,450,10073
1,1,1,4,2,1235,267794,1,0,4,80663,4,134
1,1,1,10,2,1236,267795,1,0,10,80664,10,343
2,2,2,24,2,1237,267796,1,0,48,80665,12,508
2,2,2,16,2,1238,267800,1,0,32,80670,8,7
1.41,1,2,24,2,1239,267803,2,0,33.94,80673,8,930
1.41,1,2,15,2,1240,267805,2,0,21.21,80675,5,4
1,1,1,5,2,1241,267806,1,0,5,80676,5,98
1.73,1,3,9,2,1242,267807,3,0,15.59,80677,3,2
1.41,1,1,6,2,1243,267808,1,0,8.49,80678,6,144
1,1,1,20,2,1244,267813,1,0,20,80684,10,501
2,2,2,40,2,1245,267817,1,0,80,80688,10,13345
2,2,2,24,2,1246,267820,1,0,48,80692,6,713
1.73,1,3,64,2,1247,267823,3,0,110.85,80695,16,2
1.41,1,2,18,2,1248,267824,2,0,25.46,80696,9,453
2,2,2,132,2,1249,267825,1,0,264,80697,33,3596
2,2,2,40,2,1250,267826,1,0,80,80698,20,213
2,2,2,30,2,1251,267828,1,0,60,80700,15,1792
1.41,1,1,9,2,1252,267829,1,0,12.73,80701,9,880
1,1,1,70,1,1253,267831,1,0,70,80703,35,4167
2,2,2,76,2,1254,267838,1,0,152,80710,19,1826
2,2,2,140,2,1255,267839,1,0,280,80711,35,3054
2,2,2,28,2,1256,267842,1,0,56,80714,7,1503
2,2,2,16,2,1257,267845,1,0,32,80717,4,3032
2.45,2,3,90,2,1258,267847,2,0.17,220.45,80719,30,3483
1,1,1,7,2,1259,267852,1,0,7,80724,7,189
1,1,1,6,2,1260,267855,1,0,6,80727,6,7
1,1,1,12,2,1261,267856,1,0,12,80728,6,2
1.73,1,3,24,2,1262,267858,3,0,41.57,80730,12,1
1,1,1,60,2,1263,267861,1,0,60,80733,30,1571
1,1,1,40,2,1264,267863,1,0,40,80735,20,2209
2,2,2,204,1,1265,267864,1,0,408,80736,51,3957
1,1,1,60,1,1266,267865,1,0,60,80737,30,440
1.41,1,2,20,2,1267,267866,2,0,28.28,80738,10,516
1,1,1,7,2,1268,267867,1,0,7,80739,7,152
1,1,1,28,2,1269,267868,1,0,28,80740,28,852
2.45,2,3,42,2,1270,267871,2,0.17,102.88,80744,7,2131
1,1,1,12,2,1271,267891,1,0,12,80769,6,164
2,2,2,8,2,1272,267897,1,0,16,80775,4,2
2,2,2,36,2,1273,267902,1,0,72,80780,18,801
2,1,2,28,2,1274,267903,2,0,56,80781,7,577
2.83,2,4,48,2,1275,267904,2,0,135.76,80782,6,1548
2,2,2,28,2,1276,267906,1,0,56,80784,7,1635
2,2,2,28,2,1277,267907,1,0,56,80785,7,1178
2,1,2,9,2,1278,267908,2,0,18,80786,3,1
2,2,2,36,2,1279,267913,1,0,72,80791,9,1833
2,2,2,12,2,1280,267915,1,0,24,80793,6,577
2,2,2,10,2,1281,267925,1,0,20,80806,5,935
2,2,2,60,2,1282,267927,1,0,120,80808,15,1
1,1,1,14,2,1283,267930,1,0,14,80814,7,281
2.45,2,3,90,2,1284,267934,2,0.17,220.45,80819,15,3686
2,2,2,46,2,1285,267937,1,0,92,80822,23,2631
1.41,1,2,40,2,1286,267940,2,0,56.57,80825,20,1538
1,1,1,13,2,1287,267946,1,0,13,80832,13,2353
2,2,2,12,2,1288,267948,1,0,24,80835,3,5960
1,1,1,16,2,1289,267949,1,0,16,80836,8,2
1,1,1,7,2,1290,267950,1,0,7,80837,7,392
2,2,2,12,2,1291,267953,1,0,24,80840,3,1258
2,2,2,40,2,1292,267955,1,0,80,80842,10,1805
2,2,2,60,2,1293,267956,1,0,120,80843,15,3920
1.41,1,2,30,2,1294,267957,2,0,42.43,80844,10,8
2,2,2,8,2,1295,267959,1,0,16,80846,4,1
2,2,2,12,2,1296,267964,1,0,24,80851,6,2
1.41,1,2,10,2,1297,267967,2,0,14.14,80854,5,991
1.73,1,3,87,2,1298,267968,3,0,150.69,80855,29,3902
1.41,1,2,12,2,1299,267970,2,0,16.97,80858,6,725
2,2,2,6,2,1300,267973,1,0,12,80861,3,1054
2,2,2,32,2,1301,267975,1,0,64,80863,8,1
2,2,2,64,2,1302,267983,1,0,128,80873,16,2532
2,2,2,36,2,1303,267984,1,0,72,80874,9,2720
2,1,2,32,2,1304,268007,2,0,64,80905,8,442
1,1,1,6,2,1305,268014,1,0,6,80916,3,137
1,1,1,24,2,1306,268021,1,0,24,80927,12,2
1,1,1,8,2,1307,268024,1,0,8,80931,4,411
2.45,2,3,25,2,1308,268031,2,0.17,61.24,80938,5,1
1,1,1,6,2,1309,268033,1,0,6,80940,3,378
1,1,1,6,2,1310,268034,1,0,6,80941,3,1450
2.45,2,3,54,2,1311,268035,2,0.17,132.27,80942,9,2
2.83,2,4,72,2,1312,268036,2,0,203.65,80943,12,3110
1,1,1,4,2,1313,268039,1,0,4,80948,4,702
1,1,1,20,2,1314,268045,1,0,20,80954,10,1207
2.45,1,3,45,2,1315,268050,3,0,110.23,80966,15,1336
1.41,1,2,9,2,1316,268059,2,0,12.73,80976,3,669
2,2,2,32,2,1317,268062,1,0,64,80979,8,985
2,2,2,12,2,1318,268064,1,0,24,80981,3,1
1,1,1,33,2,1319,268070,1,0,33,80987,33,1377
2,2,2,40,2,1320,268071,1,0,80,80988,10,1
1,1,1,9,2,1321,268082,1,0,9,80999,9,647
2,2,2,48,2,1322,268083,1,0,96,81000,12,1616
1.41,1,2,12,2,1323,268084,2,0,16.97,81001,4,2687
2,2,2,12,2,1324,268088,1,0,24,81005,6,2847
1,1,1,22,2,1325,268089,1,0,22,81006,11,913
1.73,1,3,80,2,1326,268093,3,0,138.56,81011,20,1604
1.41,1,2,45,2,1327,268094,2,0,63.64,81012,15,1956
1,1,1,6,2,1328,268097,1,0,6,81015,3,1
2,2,2,6,2,1329,268100,1,0,12,81018,3,1435
2,2,2,18,2,1330,268102,1,0,36,81020,9,1
1,1,1,6,2,1331,268105,1,0,6,81023,3,325
2.45,1,6,180,1,1332,268106,6,0,440.91,81024,60,5784
2,2,2,180,1,1333,268107,1,0,360,81025,90,6832
2.45,2,3,45,2,1334,268109,2,0.17,110.23,81027,9,2094
1.41,1,2,12,2,1335,268113,2,0,16.97,81031,3,5241
2,2,2,56,2,1336,268114,1,0,112,81032,14,1303
1,1,1,9,2,1337,268116,1,0,9,81034,9,8
2.83,2,4,48,2,1338,268117,3,0.25,135.76,81035,16,1746
3.74,2,7,180,2,1339,268120,6,0.36,673.5,81038,20,1854
2,2,2,40,2,1340,268121,1,0,80,81039,10,2366
1,1,1,24,2,1341,268129,1,0,24,81048,24,900
1.41,1,2,30,2,1342,268136,2,0,42.43,81062,15,2337
2,2,2,26,2,1343,268141,1,0,52,81067,13,1534
2.45,2,3,30,2,1344,268143,2,0.17,73.48,81071,6,2307
1.41,1,1,8,2,1345,268151,1,0,11.31,81080,4,1
2,2,2,20,2,1346,268157,1,0,40,81088,5,1118
1,1,1,16,2,1347,268158,1,0,16,81089,8,487
1.41,1,2,50,2,1348,268163,2,0,70.71,81094,25,935
2,2,2,20,2,1349,268164,1,0,40,81095,10,811
1,1,1,25,2,1350,268168,1,0,25,81101,25,915
2.83,2,4,16,2,1351,268170,2,0,45.25,81104,4,839
1.41,1,1,8,2,1352,268174,1,0,11.31,81109,8,130
2,2,2,80,2,1353,268178,1,0,160,81114,20,1754
2,2,2,44,2,1354,268184,1,0,88,81120,11,1639
2,2,2,112,2,1355,268186,1,0,224,81122,28,3833
2,2,2,24,2,1356,268191,1,0,48,81129,12,748
1,1,1,28,2,1357,268198,1,0,28,81138,14,438
2.45,2,3,60,1,1358,268199,2,0.17,146.97,81139,30,1772
1,1,1,20,2,1359,268201,1,0,20,81141,20,895
1.41,1,1,8,2,1360,268202,1,0,11.31,81142,8,995
1.41,1,1,6,2,1361,268203,1,0,8.49,81143,3,1
2,2,2,52,2,1362,268208,1,0,104,81148,13,3410
2,2,2,42,2,1363,268223,1,0,84,81165,21,2782
2,2,2,272,1,1364,268225,1,0,544,81167,68,3194
1.41,1,1,3,2,1365,268228,1,0,4.24,81171,3,2
2,2,2,28,2,1366,268230,1,0,56,81173,14,1530
1.41,1,1,58,2,1367,268232,1,0,82.02,81175,29,1
2,2,2,20,2,1368,268238,1,0,40,81181,5,632
1,1,1,22,2,1369,268250,1,0,22,81197,11,715
2.45,2,3,42,2,1370,268256,2,0.17,102.88,81203,14,1311
1.41,1,1,22,2,1371,268258,1,0,31.11,81205,22,1174
1,1,1,32,2,1372,268259,1,0,32,81206,16,7
2.83,2,4,184,2,1373,268260,2,0,520.43,81207,23,5203
1,1,1,3,2,1374,268263,1,0,3,81211,3,293
1.41,1,2,57,2,1375,268267,2,0,80.61,81215,19,1599
1,1,1,12,2,1376,268272,1,0,12,81221,12,398
2,1,4,126,2,1377,268276,4,0,252,81225,14,1
1.41,1,1,10,2,1378,268279,1,0,14.14,81229,5,8
2,2,2,32,2,1379,268286,1,0,64,81238,8,1204
2.83,2,4,35,2,1380,268290,3,0.25,98.99,81242,5,1048
1.41,1,2,12,2,1381,268292,2,0,16.97,81244,3,2850
1,1,1,40,2,1382,268297,1,0,40,81250,20,1023
1,1,1,6,2,1383,268300,1,0,6,81254,3,1173
1,1,1,4,2,1384,268302,1,0,4,81256,4,129
1.41,1,1,52,2,1385,268307,1,0,73.54,81262,26,1
1.41,1,2,32,2,1386,268310,2,0,45.25,81265,8,1061
1.41,1,1,3,2,1387,268311,1,0,4.24,81266,3,1
2,2,2,8,2,1388,268314,1,0,16,81269,4,1145
1,1,1,6,2,1389,268318,1,0,6,81273,6,258
1.41,1,2,36,2,1390,268320,2,0,50.91,81276,9,2739
1.41,1,1,8,2,1391,268321,1,0,11.31,81277,4,1
2,2,2,72,2,1392,268324,1,0,144,81280,18,2146
1,1,1,14,2,1393,268330,1,0,14,81286,7,666
3.46,2,6,124,1,1394,268331,4,0.17,429.55,81287,62,2571
1.41,1,2,60,2,1395,268342,2,0,84.85,81299,20,1593
1,1,1,4,2,1396,268345,1,0,4,81302,4,502
2,2,2,52,2,1397,268347,1,0,104,81304,13,2160
1.41,1,1,15,2,1398,268352,1,0,21.21,81309,15,324
1.41,1,2,30,1,1399,268353,2,0,42.43,81310,30,1000
1.41,1,2,60,2,1400,268359,2,0,84.85,81320,30,1
1,1,1,6,2,1401,268365,1,0,6,81328,3,481
2,2,2,40,2,1402,268367,1,0,80,81330,20,2673
1,1,1,24,2,1403,268373,1,0,24,81336,8,577
2.83,2,4,250,1,1404,268378,3,0.25,707.11,81342,50,3738
2,2,2,48,2,1405,268379,1,0,96,81343,24,1
1,1,1,10,2,1406,268387,1,0,10,81354,10,2135
1.41,1,2,56,2,1407,268391,2,0,79.2,81359,28,1499
2.83,2,4,198,2,1408,268399,3,0.25,560.03,81368,33,4686
1.41,1,1,6,2,1409,268408,1,0,8.49,81378,6,234
1,1,1,84,1,1410,268412,1,0,84,81382,42,700
2,2,2,40,2,1411,268416,1,0,80,81387,10,911
1,1,1,14,2,1412,268419,1,0,14,81392,14,2
2,2,2,128,2,1413,268425,1,0,256,81398,32,1
3.16,2,5,216,2,1414,268427,4,0.3,683.05,81402,24,10376
2,2,2,108,2,1415,268428,1,0,216,81403,27,2318
2,2,2,18,2,1416,268430,1,0,36,81405,9,1527
1,1,1,6,2,1417,268433,1,0,6,81409,3,3
1,1,1,60,1,1418,268436,1,0,60,81412,30,1019
2,2,2,6,2,1419,268438,1,0,12,81414,3,1004
2,2,2,68,2,1420,268444,1,0,136,81420,34,2689
1,1,1,16,2,1421,268446,1,0,16,81422,8,540
1,1,1,9,2,1422,268447,1,0,9,81423,3,375
1,1,1,28,2,1423,268449,1,0,28,81425,14,568
1.41,1,2,51,2,1424,268452,2,0,72.12,81428,17,1
2,2,2,52,2,1425,268456,1,0,104,81433,13,2628
2,2,2,116,2,1426,268457,1,0,232,81434,29,4832
2.83,2,4,24,2,1427,268459,2,0,67.88,81437,6,0
1,1,1,17,2,1428,268460,1,0,17,81438,17,1733
1.41,1,2,40,2,1429,268473,2,0,56.57,81452,20,1583
2,2,2,96,2,1430,268474,1,0,192,81453,24,2107
2,2,2,100,2,1431,268477,1,0,200,81457,25,3655
1,1,1,6,2,1432,268480,1,0,6,81460,3,282
2,1,2,30,2,1433,268485,2,0,60,81465,10,936
2.83,2,4,90,2,1434,268487,2,0,254.56,81467,15,3214
1,1,1,35,1,1435,268488,1,0,35,81468,35,1680
1.41,1,2,54,2,1436,268491,2,0,76.37,81471,27,2372
2,2,2,28,2,1437,268495,1,0,56,81476,7,1499
1,1,1,9,2,1438,268496,1,0,9,81477,9,319
2.45,2,3,185,2,1439,268498,2,0.17,453.16,81480,37,3969
2,2,2,12,2,1440,268500,1,0,24,81482,3,1822
1.73,1,3,125,2,1441,268502,3,0,216.51,81484,25,5470
2,2,2,80,1,1442,268506,1,0,160,81489,40,2035
1.41,1,2,124,2,1443,268507,2,0,175.36,81490,31,2905
2,2,2,40,2,1444,268508,1,0,80,81491,10,2120
2,2,2,34,2,1445,268510,1,0,68,81494,17,974
1,1,1,9,2,1446,268515,1,0,9,81499,9,487
1,1,1,36,2,1447,268518,1,0,36,81502,36,768
2,2,2,60,2,1448,268523,1,0,120,81507,30,731
2,1,2,28,2,1449,268527,2,0,56,81512,7,1322
2.45,2,3,150,2,1450,268534,2,0.17,367.42,81520,25,13
2,2,2,100,2,1451,268540,1,0,200,81527,25,6498
1,1,1,10,2,1452,268542,1,0,10,81529,5,945
2,2,2,240,1,1453,268543,1,0,480,81530,60,2601
1,1,1,22,2,1454,268546,1,0,22,81534,11,1
1,1,1,3,2,1455,268549,1,0,3,81537,3,169
2,2,2,30,2,1456,268556,1,0,60,81545,5,2680
1,1,1,24,2,1457,268558,1,0,24,81547,12,708
2.83,2,4,60,2,1458,268574,2,0,169.71,81566,10,4577
1.73,1,3,40,2,1459,268581,3,0,69.28,81575,10,1469
2.45,2,3,280,1,1460,268584,2,0.17,685.86,81579,140,4441
2,2,2,80,2,1461,268588,1,0,160,81584,20,2
1.41,1,1,24,2,1462,268594,1,0,33.94,81590,12,2
1,1,1,80,1,1463,268595,1,0,80,81591,80,1918
1,1,1,6,2,1464,268598,1,0,6,81594,3,1
2,2,2,16,2,1465,268600,1,0,32,81596,8,1393
1.41,1,2,38,2,1466,268602,2,0,53.74,81598,19,1267
2,2,2,20,2,1467,268603,1,0,40,81599,10,245
1,1,1,8,2,1468,268604,1,0,8,81600,4,379
2,2,2,48,2,1469,268605,1,0,96,81601,12,5784
2,2,2,40,2,1470,268607,1,0,80,81603,20,1480
1,1,1,40,2,1471,268611,1,0,40,81607,40,1491
1,1,1,72,2,1472,268613,1,0,72,81609,36,1485
1,1,1,45,1,1473,268614,1,0,45,81610,45,521
2.83,2,4,104,2,1474,268615,2,0,294.16,81611,26,716
1.41,1,1,20,2,1475,268616,1,0,28.28,81612,10,653
2,2,2,20,2,1476,268627,1,0,40,81624,5,3729
1,1,1,14,2,1477,268632,1,0,14,81629,7,473
1,1,1,40,2,1478,268638,1,0,40,81635,40,2
1,1,1,84,2,1479,268642,1,0,84,81639,42,2
1,1,1,6,2,1480,268643,1,0,6,81640,3,130
2,2,2,48,2,1481,268649,1,0,96,81646,12,1
2,2,2,52,2,1482,268651,1,0,104,81648,26,2847
2.45,2,3,45,2,1483,268655,2,0.17,110.23,81652,15,2310
2,2,2,92,2,1484,268658,1,0,184,81657,23,5473
2,2,2,44,2,1485,268660,1,0,88,81659,11,1
1.41,1,1,40,2,1486,268677,1,0,56.57,81679,20,884
2,2,2,300,1,1487,268679,1,0,600,81681,50,2379
2.45,2,3,48,2,1488,268684,2,0.17,117.58,81689,8,1
2,2,2,18,2,1489,268685,1,0,36,81690,9,1803
1,1,1,74,2,1490,268686,1,0,74,81691,37,2918
1.73,1,3,80,2,1491,268688,3,0,138.56,81693,20,3073
2,2,2,20,2,1492,268691,1,0,40,81697,5,772
2,2,2,96,2,1493,268692,1,0,192,81698,24,3550
2.45,2,3,120,1,1494,268697,2,0.17,293.94,81704,60,700
2,2,2,32,2,1495,268710,1,0,64,81719,8,865
1,1,1,6,2,1496,268711,1,0,6,81720,3,230
2.45,2,3,102,2,1497,268713,2,0.17,249.85,81722,17,2304
1,1,1,20,2,1498,268714,1,0,20,81723,20,1
2.83,2,4,84,2,1499,268715,2,0,237.59,81724,14,2806
1,1,1,38,2,1500,268724,1,0,38,81735,38,1459
1.41,1,2,92,2,1501,268725,2,0,130.11,81736,46,3908
2.45,2,2,96,2,1502,268728,1,0,235.15,81739,16,5136
2,2,2,40,2,1503,268731,1,0,80,81742,20,1666
1,1,1,50,2,1504,268735,1,0,50,81749,50,1269
1,1,1,70,2,1505,268736,1,0,70,81750,35,1662
2,2,2,8,2,1506,268737,1,0,16,81751,4,877
2,2,2,16,2,1507,268738,1,0,32,81752,4,1179
2,2,2,68,2,1508,268744,1,0,136,81758,17,0
1.41,1,1,38,2,1509,268745,1,0,53.74,81759,19,3
2,2,2,42,2,1510,268746,1,0,84,81760,7,1450
1,1,1,3,2,1511,268749,1,0,3,81764,3,533
1,1,1,16,2,1512,268755,1,0,16,81771,16,6467
1,1,1,10,2,1513,268761,1,0,10,81781,5,2
1.41,1,1,6,2,1514,268763,1,0,8.49,81783,3,3
1,1,1,5,2,1515,268769,1,0,5,81789,5,162
1,1,1,30,2,1516,268774,1,0,30,81795,30,1
3.16,2,5,105,2,1517,268778,3,0.1,332.04,81800,15,4286
1.73,1,3,42,2,1518,268779,3,0,72.75,81801,21,1
2,2,2,6,2,1519,268789,1,0,12,81812,3,1
2.83,2,4,144,2,1520,268792,3,0.25,407.29,81815,24,3844
2,2,2,32,2,1521,268798,1,0,64,81821,8,2325
2,2,2,69,2,1522,268802,1,0,138,81825,23,1344
2,1,2,39,2,1523,268805,2,0,78,81828,13,529
1.41,1,1,7,2,1524,268808,1,0,9.9,81833,7,323
2,2,2,40,2,1525,268809,1,0,80,81834,20,1249
1.41,1,2,18,2,1526,268818,2,0,25.46,81843,9,730
1.41,1,2,20,2,1527,268819,2,0,28.28,81844,10,3
1.41,1,1,12,2,1528,268821,1,0,16.97,81846,6,1
1.41,1,1,16,2,1529,268827,1,0,22.63,81854,16,13987
1.41,1,1,4,2,1530,268830,1,0,5.66,81857,4,618
2,2,2,28,2,1531,268831,1,0,56,81858,7,773
2,2,2,40,2,1532,268836,1,0,80,81864,10,2141
2,2,2,48,2,1533,268837,1,0,96,81865,24,5317
2,2,2,48,2,1534,268839,1,0,96,81867,12,3457
2.45,2,3,18,2,1535,268840,2,0.17,44.09,81868,6,474
1,1,1,4,2,1536,268842,1,0,4,81870,4,50
1,1,1,12,2,1537,268844,1,0,12,81872,12,2
1,1,1,7,2,1538,268850,1,0,7,81878,7,245
2,2,2,12,2,1539,268856,1,0,24,81884,3,997
1.41,1,2,80,2,1540,268857,2,0,113.14,81885,20,2
2,2,2,20,2,1541,268862,1,0,40,81890,10,1212
1.41,1,2,5,2,1542,268865,2,0,7.07,81893,5,3
2,2,2,120,2,1543,268869,1,0,240,81897,30,861
2,2,2,60,2,1544,268872,1,0,120,81901,30,1863
1,1,1,15,2,1545,268874,1,0,15,81905,15,1536
1.41,1,1,14,2,1546,268881,1,0,19.8,81913,7,1063
1,1,1,48,2,1547,268882,1,0,48,81914,24,1112
2,1,4,88,2,1548,268885,4,0,176,81917,22,3122
2,2,2,24,2,1549,268886,1,0,48,81918,12,1188
2,2,2,120,2,1550,268888,1,0,240,81920,30,3354
1.41,1,2,33,2,1551,268890,2,0,46.67,81923,11,845
2,2,2,64,2,1552,268895,1,0,128,81928,16,1579
2,2,2,28,2,1553,268896,1,0,56,81929,14,1438
1,1,1,38,2,1554,268900,1,0,38,81933,19,1110
1.41,1,1,16,2,1555,268902,1,0,22.63,81935,8,416
2,2,2,60,2,1556,268904,1,0,120,81937,15,1731
1,1,1,34,2,1557,268905,1,0,34,81938,17,564
1.41,1,1,28,2,1558,268906,1,0,39.6,81939,14,473
3,3,3,18,2,1559,268907,1,0,54,81940,3,1
2,2,2,50,2,1560,268908,1,0,100,81941,25,1225
2,2,2,72,2,1561,268909,1,0,144,81942,36,1970
1,1,1,28,2,1562,268910,1,0,28,81943,28,1566
2.45,2,3,60,2,1563,268911,2,0.17,146.97,81944,12,1933
2,1,4,135,2,1564,268912,4,0,270,81945,27,3144
2.83,2,4,232,2,1565,268920,2,0,656.2,81953,29,4991
1,1,1,3,2,1566,268922,1,0,3,81955,3,151
1.41,1,1,15,2,1567,268923,1,0,21.21,81956,15,771
2,1,2,36,2,1568,268925,2,0,72,81958,12,2
1.41,1,1,3,2,1569,268927,1,0,4.24,81960,3,95
2,2,2,96,2,1570,268930,1,0,192,81963,24,2618
2,2,2,32,2,1571,268935,1,0,64,81968,16,375
2,2,2,144,2,1572,268936,1,0,288,81969,36,4829
2,2,2,404,1,1573,268938,1,0,808,81971,101,2643
2,2,2,128,2,1574,268942,1,0,256,81975,32,5454
1,1,1,8,2,1575,268945,1,0,8,81978,4,2
1.41,1,2,15,2,1576,268949,2,0,21.21,81982,3,398
1,1,1,6,2,1577,268956,1,0,6,81991,6,117
1,1,1,112,1,1578,268957,1,0,112,81992,56,1810
1.41,1,2,88,2,1579,268963,2,0,124.45,81999,22,1690
1.41,1,2,42,2,1580,268965,2,0,59.4,82001,21,1119
1.41,1,2,90,2,1581,268968,2,0,127.28,82005,30,2209
1,1,1,10,2,1582,268970,1,0,10,82007,10,427
2,1,2,42,2,1583,268974,2,0,84,82011,14,1
1.41,1,2,100,2,1584,268975,2,0,141.42,82012,25,1809
3.74,2,7,217,2,1585,268976,6,0.36,811.94,82013,31,4099
1.41,1,1,50,2,1586,268978,1,0,70.71,82016,25,918
1.41,1,2,38,2,1587,268986,2,0,53.74,82028,19,913
2,2,2,6,2,1588,268991,1,0,12,82035,3,886
