tab_score_reg,dopasPerTab,totInksPerTab,tot_imps_per_tab,stationTypeId,idx,oID,maxInksPerTab,gini,tab_score_weighted,tabID,qtyPerTab,runTime
1,1,1,9,2,951,266774,1,0,9,79525,3,7
2,2,2,6,2,952,266778,1,0,12,79529,3,1
2,2,2,28,2,953,266784,1,0,56,79535,7,1397
2.83,2,4,48,2,954,266785,2,0,135.76,79536,8,687
2,1,2,54,2,955,266789,2,0,108,79540,18,1494
1.41,1,2,12,2,956,266790,2,0,16.97,79541,3,1409
2.83,2,4,18,2,957,266792,2,0,50.91,79543,3,466
2,2,2,24,2,958,266794,1,0,48,79545,6,2
1.41,1,1,6,2,959,266795,1,0,8.49,79546,3,2984
2,2,2,75,2,960,266796,1,0,150,79547,25,3693
1,1,1,12,2,961,266799,1,0,12,79550,12,604
2,2,2,700,1,962,266801,1,0,1400,79552,350,7618
2,2,2,132,2,963,266805,1,0,264,79556,33,3336
1.41,1,1,41,2,964,266807,1,0,57.98,79559,41,1384
2,1,2,20,2,965,266809,2,0,40,79561,10,1
2,2,2,64,2,966,266810,1,0,128,79562,32,1
1,1,1,28,2,967,266812,1,0,28,79564,14,954
2,2,2,6,2,968,266815,1,0,12,79567,3,445
1,1,1,6,2,969,266819,1,0,6,79571,3,606
2,2,2,20,2,970,266827,1,0,40,79579,10,1747
2,2,2,10,2,971,266829,1,0,20,79581,5,1
1,1,1,30,2,972,266831,1,0,30,79583,15,1011
1,1,1,12,2,973,266832,1,0,12,79584,6,1
1,1,1,15,2,974,266836,1,0,15,79588,15,572
2,2,2,48,2,975,266837,1,0,96,79589,24,2393
2,2,2,28,2,976,266838,1,0,56,79590,14,1
1,1,1,3,2,977,266840,1,0,3,79592,3,1
1,1,1,40,2,978,266848,1,0,40,79600,20,1137
2.83,2,4,108,2,979,266849,2,0,305.47,79601,27,1
2,2,2,28,2,980,266851,1,0,56,79603,7,2
1,1,1,8,2,981,266852,1,0,8,79604,8,1278
1.41,1,2,12,2,982,266854,2,0,16.97,79606,6,1237
2,2,2,108,2,983,266855,1,0,216,79607,27,1
1,1,1,6,2,984,266856,1,0,6,79608,3,1518
2.83,2,4,244,1,985,266857,3,0.25,690.14,79609,61,8591
2,2,2,24,2,986,266859,1,0,48,79611,6,1623
2.45,2,3,105,2,987,266861,2,0.17,257.2,79613,21,7599
1,1,1,6,2,988,266862,1,0,6,79614,3,364
1.41,1,2,12,2,989,266864,2,0,16.97,79616,4,1
1.41,1,2,24,2,990,266869,2,0,33.94,79623,8,545
2,2,2,16,2,991,266870,1,0,32,79624,4,1499
2.83,2,4,150,2,992,266873,2,0,424.26,79627,25,3166
1,1,1,24,2,993,266875,1,0,24,79629,24,734
1.41,1,2,24,2,994,266876,2,0,33.94,79630,12,739
2,2,2,6,2,995,266891,1,0,12,79645,3,518
1.41,1,2,72,2,996,266898,2,0,101.82,79652,24,2258
2,2,2,72,2,997,266907,1,0,144,79661,18,1
1,1,1,22,2,998,266913,1,0,22,79668,11,526
1,1,1,24,2,999,266915,1,0,24,79670,12,666
1,1,1,20,2,1000,266916,1,0,20,79671,10,686
