,orderId,tab_id,dopa_id,runTime,tabsPerOrder,tab_tot_pcs,dopa_tot_imp,printer,dopa_tot_inks,dopas_per_tab,inks_per_tab,tot_imps_per_tab,tab_score_reg,tab_score_weighted,stationTypeId,good,actual,pred,WSPP,mult_dopa
1413,303525,121432,195240,1498,1,4,4,404135,1,1,1,4,1,4,2,1,Manual,Manual,1,0
1416,303521,121427,195232,356,1,13,26,562266,1,2,1,26,1.41421,36.7696,2,1,Manual,Manual,2.828430769,0
1423,303512,121418,195217,2076,1,14,28,490995,1,2,1,28,1.41421,39.598,2,1,Manual,Manual,2.828428571,0
1424,303511,121417,195216,761,1,10,10,490995,1,1,1,10,1,10,2,1,Manual,Manual,1,0
1425,303509,121414,195211,1291,1,3,6,541683,1,1,1,6,1,6,2,1,Manual,Manual,2,0
1426,303508,121413,195210,785,1,3,6,490995,1,1,1,6,1,6,2,1,Manual,Manual,2,0
1429,303501,121406,195201,2734,1,32,64,530373,2,1,2,64,1.41421,90.5097,2,1,Manual,Manual,2.828428125,0
1430,303500,121405,195200,1292,1,56,112,50883,2,1,2,112,1.41421,158.392,1,1,Automatic,Automatic,2.828428571,0
1431,303499,121404,195199,164,1,10,10,191063,1,1,1,10,1,10,2,1,Manual,Manual,1,0
1432,303497,121402,195196,128,1,5,5,50866,1,1,1,5,1,5,2,1,Manual,Manual,1,0
1433,303494,121398,195191,2130,1,20,40,530373,1,1,1,40,1,40,2,1,Manual,Manual,2,0
1440,303483,121387,195173,3,1,12,12,530373,1,1,1,12,1,12,2,1,Manual,Manual,1,0
1447,303473,121377,195157,678,1,6,6,541683,1,1,1,6,1,6,2,1,Manual,Manual,1,0
1450,303467,121370,195147,6,1,8,16,191061,1,1,1,16,1,16,2,1,Manual,Manual,2,0
1451,303466,121369,195146,1,1,5,10,191061,1,1,1,10,1,10,2,1,Manual,Manual,2,0
1454,303453,121353,195123,3576,1,60,120,541683,1,1,1,120,1,120,1,1,Automatic,Automatic,2,0
1457,303450,121350,195119,2252,1,50,100,299567,1,1,1,100,1,100,2,0,Manual,Automatic,2,0
1458,303449,121349,195118,2054,1,44,44,530373,1,1,1,44,1,44,2,0,Manual,Automatic,1,0
1461,303438,121338,195098,807,1,85,170,530379,1,1,1,170,1,170,1,1,Automatic,Automatic,2,0
1462,303436,121336,195095,1397,1,18,18,191063,1,1,1,18,1,18,2,1,Manual,Manual,1,0
1463,303433,121333,195090,469,1,10,20,404135,1,2,1,20,1.41421,28.2843,2,1,Manual,Manual,2.82843,0
1468,303413,121313,195057,887,1,3,6,242865,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
1473,303406,121304,195039,493,1,11,11,490995,1,2,1,11,1.41421,15.5563,2,1,Manual,Manual,1.414209091,0
1476,303395,121291,195016,1153,1,16,32,299565,1,1,1,32,1,32,2,1,Manual,Manual,2,0
1479,303393,121289,195013,415,1,4,12,50866,2,2,2,12,2,24,2,1,Manual,Manual,6,0
1480,303392,121288,195011,2578,1,3,6,50866,1,1,1,6,1,6,2,1,Manual,Manual,2,0
