,orderId,tab_id,dopa_id,runTime,tabsPerOrder,tab_tot_pcs,dopa_tot_imp,printer,dopa_tot_inks,dopas_per_tab,inks_per_tab,tot_imps_per_tab,tab_score_reg,tab_score_weighted,stationTypeId,good,actual,pred,WSPP,mult_dopa
2712,300728,118351,190422,187,1,3,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2715,300725,118348,190418,141,1,4,4,530373,1,1,1,4,1,4,2,1,Manual,Manual,1,0
2720,300715,118337,190396,1562,1,36,72,191061,2,1,2,72,1.41421,101.823,2,1,Manual,Manual,2.828416667,0
2721,300706,118328,190384,2502,1,177,177,530375,1,1,1,177,1,177,1,1,Automatic,Automatic,1,0
2722,300686,118310,190361,243,1,10,20,190801,1,1,1,20,1,20,2,1,Manual,Manual,2,0
2731,300669,118291,190335,928,1,3,3,530373,1,1,1,3,1,3,2,1,Manual,Manual,1,0
2732,300663,118285,190326,385,1,6,12,299567,1,1,1,12,1,12,2,1,Manual,Manual,2,0
2735,300646,118273,190305,4326,1,100,200,50883,2,1,2,200,1.41421,282.843,1,1,Automatic,Automatic,2.82843,0
2738,300634,118258,190281,2842,1,15,30,299567,1,1,1,30,1,30,2,1,Manual,Manual,2,0
2739,300625,118250,190268,249,1,6,24,190801,2,1,2,24,1.41421,33.9411,2,1,Manual,Manual,5.65685,0
2744,300615,118240,190260,910,1,16,32,53821,1,1,1,32,1,32,2,1,Manual,Manual,2,0
2749,300612,118237,190255,2,1,5,10,191061,1,2,1,10,1.41421,14.1421,2,1,Manual,Manual,2.82842,0
2750,300610,118235,190251,1266,1,5,10,50866,1,1,1,10,1,10,2,1,Manual,Manual,2,0
2751,300607,118232,190247,336,1,3,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2752,300604,118229,190243,761,1,3,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2759,300595,118219,190226,1,1,3,6,487901,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2760,300592,118216,190222,354,1,11,22,50866,1,1,1,22,1,22,2,1,Manual,Manual,2,0
2761,300591,118215,190220,730,1,10,20,404135,1,2,1,40,1.41421,56.5685,2,1,Manual,Manual,5.65685,0
2764,300585,118209,190211,1,1,40,40,191061,1,1,1,40,1,40,2,1,Manual,Manual,1,0
2765,300582,118205,190205,892,1,11,33,490995,2,2,2,33,2,66,2,1,Manual,Manual,6,0
2788,300547,118162,190128,1476,1,6,24,191063,4,1,4,24,2,48,2,1,Manual,Manual,8,0
2795,300538,118153,190110,412,1,6,12,191061,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
2796,300535,118150,190107,474,1,5,10,53821,1,1,1,10,1,10,2,1,Manual,Manual,2,0
2803,300511,118122,190063,956,1,6,12,191061,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
2804,300510,118121,190062,1991,1,25,50,53821,2,1,2,50,1.41421,70.7107,2,1,Manual,Manual,2.828428,0
2808,300499,118109,190043,641,1,4,8,487901,1,1,1,8,1,8,2,1,Manual,Manual,2,0
2811,300488,118097,190024,876,1,14,42,179624,2,2,2,42,2,84,2,1,Manual,Manual,6,0
2814,300479,118080,189992,2,1,20,20,541683,1,1,1,20,1,20,2,1,Manual,Manual,1,0
2815,300478,118079,189991,2185,1,22,44,530373,1,1,1,44,1,44,2,1,Manual,Manual,2,0
2818,300464,118060,189961,2,1,3,6,490995,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
2821,300452,118047,189937,2842,1,12,24,299567,1,1,1,24,1,24,2,1,Manual,Manual,2,0
2826,300439,118037,189920,522,1,67,134,53823,1,1,1,134,1,134,1,0,Automatic,Manual,2,0
2827,300431,118028,189905,634,1,17,34,490995,1,1,1,34,1,34,2,1,Manual,Manual,2,0
2828,300425,118020,189893,255,1,3,6,530373,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2829,300420,118014,189885,1877,1,24,72,190801,2,1,2,72,1.41421,101.823,2,1,Manual,Manual,4.242625,0
2830,300417,118011,189881,446,1,5,15,53821,2,1,2,15,1.41421,21.2132,2,1,Manual,Manual,4.24264,0
2831,300414,118008,189877,3138,1,15,45,404135,3,1,3,45,1.73205,77.9423,2,1,Manual,Manual,5.196153333,0
2832,300411,118004,189869,707,1,4,4,541683,1,2,1,4,1.41421,5.65685,2,1,Manual,Manual,1.4142125,0
2833,300408,118001,189866,582,1,12,24,242885,1,1,1,24,1,24,2,1,Manual,Manual,2,0
2836,300406,117999,189863,29,1,3,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,2,0
2837,300403,117996,189859,127,1,5,5,53821,1,1,1,5,1,5,2,1,Manual,Manual,1,0
2838,300400,117993,189854,2583,1,35,140,191061,1,2,2,140,2,280,2,1,Manual,Manual,8,0
2845,300374,117967,189816,847,1,14,42,299567,2,1,2,42,1.41421,59.397,2,1,Manual,Manual,4.242642857,0
2850,300358,117949,189785,443,1,6,12,53821,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
2851,300356,117947,189782,7,1,26,26,541683,1,1,1,26,1,26,2,1,Manual,Manual,1,0
2852,300355,117946,189781,1469,1,43,215,50866,4,1,4,215,2,430,2,1,Manual,Manual,10,0
2853,300347,117935,189762,2845,1,25,50,299567,1,1,1,50,1,50,2,1,Manual,Manual,2,0
2856,300337,117920,189744,636,1,12,24,53821,1,1,1,24,1,24,2,1,Manual,Manual,2,0
2857,300333,117915,189737,548,1,20,20,404135,1,1,1,20,1,20,2,1,Manual,Manual,1,0
2858,300332,117914,189736,8724,1,90,180,53823,3,1,3,180,1.73205,311.769,1,1,Automatic,Automatic,3.4641,0
2859,300330,117912,189732,694,1,9,18,53821,1,2,1,18,1.41421,25.4558,2,1,Manual,Manual,2.828422222,0
2862,300324,117905,189722,1672,1,20,60,53821,2,1,2,60,1.41421,84.8528,2,1,Manual,Manual,4.24264,0
2873,300291,117866,189667,731,1,24,24,490995,1,1,1,24,1,24,2,1,Manual,Manual,1,0
2874,300289,117863,189662,723,1,3,12,50866,2,1,2,12,1.41421,16.9706,2,1,Manual,Manual,5.656866667,0
2875,300288,117862,189661,2531,1,17,17,541683,1,1,1,17,1,17,2,1,Manual,Manual,1,0
2876,300280,117854,189648,643,1,14,28,53821,1,1,1,28,1,28,2,1,Manual,Manual,2,0
2877,300272,117848,189640,1224,1,15,15,490995,1,1,1,15,1,15,2,1,Manual,Manual,1,0
2880,300255,117829,189611,3191,1,6,12,191063,1,1,1,12,1,12,2,1,Manual,Manual,2,0
2881,300254,117828,189609,7,1,17,34,191061,1,2,2,34,2,68,2,1,Manual,Manual,4,0
2882,300252,117826,189606,2749,1,89,89,299567,1,1,1,89,1,89,2,0,Manual,Automatic,1,0
2885,300248,117822,189599,361,1,10,10,299567,1,1,1,10,1,10,2,1,Manual,Manual,1,0
2886,300245,117818,189593,863,1,25,50,299567,1,1,1,50,1,50,2,1,Manual,Manual,2,0
2887,300244,117817,189592,493,1,6,6,299567,1,1,1,6,1,6,2,1,Manual,Manual,1,0
2890,300241,117814,189587,1191,1,21,42,487901,1,2,1,42,1.41421,59.397,2,1,Manual,Manual,2.828428571,0
2894,300231,117807,189577,2681,1,64,64,530375,1,1,1,64,1,64,1,1,Automatic,Automatic,1,0
2895,300230,117806,189575,1052,1,35,35,299567,1,2,1,35,1.41421,49.4975,2,1,Manual,Manual,1.414214286,0
2896,300229,117805,189574,6002,1,133,133,541683,1,1,1,133,1,133,2,0,Manual,Automatic,1,0
2897,300225,117799,189568,1,1,16,16,490995,1,1,1,16,1,16,2,1,Manual,Manual,1,0
2900,300210,117783,189541,13,1,12,24,490995,1,2,1,24,1.41421,33.9411,2,1,Manual,Manual,2.828425,0
2901,300209,117782,189540,213,1,4,8,299567,1,1,1,8,1,8,2,1,Manual,Manual,2,0
2902,300198,117771,189526,3332,1,30,90,490995,2,1,2,90,1.41421,127.279,2,1,Manual,Manual,4.242633333,0
2903,300193,117766,189519,2870,1,50,50,490995,1,1,1,50,1,50,2,1,Manual,Manual,1,0
2904,300190,117763,189514,1115,1,11,22,487901,1,1,1,22,1,22,2,1,Manual,Manual,2,0
2907,300180,117753,189501,1714,1,3,9,53821,2,1,2,9,1.41421,12.7279,2,1,Manual,Manual,4.242633333,0
2908,300175,117746,189487,2952,1,39,117,53821,2,2,2,117,2,234,2,1,Manual,Manual,6,0
2925,300111,117667,189359,5143,1,32,160,191061,1,2,3,160,2.44949,391.918,2,1,Manual,Manual,12.2474375,0
2926,300105,117658,189345,1906,1,26,52,53821,2,1,2,52,1.41421,73.5391,2,1,Manual,Manual,2.828426923,0
2927,300082,117629,189299,2,1,33,99,490995,2,2,2,99,2,198,2,1,Manual,Manual,6,0
2930,300059,117597,189255,1189,1,6,12,191061,1,1,1,12,1,12,2,1,Manual,Manual,2,0
2935,300042,117578,189225,8075,1,500,500,53823,1,1,1,500,1,500,1,1,Automatic,Automatic,1,0
2936,300041,117577,189224,1024,1,20,40,191063,1,1,1,40,1,40,2,1,Manual,Manual,2,0
2939,300037,117572,189215,1112,1,28,28,191061,1,1,1,28,1,28,2,1,Manual,Manual,1,0
2940,300035,117570,189212,586,1,10,10,404135,1,1,1,10,1,10,2,1,Manual,Manual,1,0
2945,300021,117556,189190,630,1,7,14,490995,1,1,1,14,1,14,2,1,Manual,Manual,2,0
2948,300016,117551,189182,572,1,12,24,50866,1,1,1,24,1,24,2,1,Manual,Manual,2,0
2951,300002,117536,189160,112,1,3,6,179624,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
2954,299991,117523,189140,624,1,4,4,191061,1,2,2,4,2,8,2,1,Manual,Manual,2,0
2955,299989,117521,189137,2054,1,42,84,299567,1,1,1,84,1,84,2,1,Manual,Manual,2,0
2958,299979,117508,189117,499,1,6,18,490995,2,2,2,18,2,36,2,1,Manual,Manual,6,0
2961,299971,117497,189101,2908,1,17,51,404135,2,1,2,51,1.41421,72.1249,2,1,Manual,Manual,4.242641176,0
2962,299970,117496,189099,1514,1,21,63,191063,2,2,2,63,2,126,2,1,Manual,Manual,6,0
2963,299960,117485,189083,2209,1,20,60,191061,1,1,1,60,1,60,2,1,Manual,Manual,3,0
2968,299936,117456,189044,1100,1,22,44,53821,1,1,1,44,1,44,2,1,Manual,Manual,2,0
2969,299935,117455,189043,3931,1,60,60,530375,1,1,1,60,1,60,1,1,Automatic,Automatic,1,0
2970,299932,117452,189039,2588,1,18,54,191063,2,2,2,54,2,108,2,1,Manual,Manual,6,0
2971,299931,117451,189037,1063,1,20,40,191061,1,1,1,40,1,40,2,1,Manual,Manual,2,0
2972,299924,117444,189027,661,1,12,36,191061,3,1,3,36,1.73205,62.3538,2,1,Manual,Manual,5.19615,0
2973,299922,117442,189025,2486,1,26,52,190801,1,1,1,52,1,52,2,1,Manual,Manual,2,0
2974,299921,117441,189024,1104,1,22,44,191063,1,1,1,44,1,44,2,1,Manual,Manual,2,0
2975,299916,117436,189016,386,1,9,9,53821,1,2,1,9,1.41421,12.7279,2,1,Manual,Manual,1.414211111,0
2976,299914,117434,189013,27,1,30,60,50780,1,1,1,60,1,60,2,1,Manual,Manual,2,0
2977,299913,117433,189011,620,1,9,18,53821,1,2,1,18,1.41421,25.4558,2,1,Manual,Manual,2.828422222,0
2978,299910,117430,189006,1379,1,6,18,191061,2,2,2,18,2,36,2,1,Manual,Manual,6,0
2979,299909,117429,189004,1005,1,5,15,191063,3,1,3,15,1.73205,25.9808,2,1,Manual,Manual,5.19616,0
2980,299908,117428,189003,36,1,35,105,50866,3,1,3,105,1.73205,181.865,2,1,Manual,Manual,5.196142857,0
2981,299902,117422,188994,161,1,3,3,50866,1,1,1,3,1,3,2,1,Manual,Manual,1,0
2982,299901,117421,188992,2220,1,22,44,487901,1,2,1,44,1.41421,62.2254,2,1,Manual,Manual,2.828427273,0
2983,299898,117418,188989,1329,1,21,42,487901,1,1,1,42,1,42,2,1,Manual,Manual,2,0
2990,299888,117406,188967,2089,1,25,50,53821,1,1,1,50,1,50,2,1,Manual,Manual,2,0
2991,299884,117402,188960,4594,1,20,100,530373,3,1,3,100,1.73205,173.205,2,1,Manual,Manual,8.66025,0
2994,299858,117375,188921,1054,1,4,12,490995,2,1,2,12,1.41421,16.9706,2,1,Manual,Manual,4.24265,0
3001,299834,117350,188882,162,1,7,7,53821,1,1,1,7,1,7,2,1,Manual,Manual,1,0
3002,299823,117337,188865,3226,1,36,108,190801,2,1,2,108,1.41421,152.735,2,1,Manual,Manual,4.242638889,0
3005,299813,117327,188848,1347,1,18,36,404135,1,2,1,72,1.41421,101.823,2,1,Manual,Manual,5.656833333,0
3008,299797,117310,188821,627,1,22,22,53821,1,1,1,22,1,22,2,1,Manual,Manual,1,0
3011,299760,117274,188760,2188,1,40,80,490995,1,1,1,80,1,80,2,1,Manual,Manual,2,0
3014,299734,117247,188717,1554,1,16,96,50866,3,1,3,96,1.73205,166.277,2,1,Manual,Manual,10.3923125,0
3015,299733,117246,188715,1611,1,41,41,190801,1,3,1,41,1.73205,71.0141,2,1,Manual,Manual,1.73205122,0
3018,299727,117240,188707,2622,1,20,40,404135,1,1,1,40,1,40,2,1,Manual,Manual,2,0
3021,299709,117221,188676,4336,1,26,78,53821,3,1,3,78,1.73205,135.1,2,1,Manual,Manual,5.196153846,0
3022,299708,117220,188675,2446,1,6,42,191063,4,1,4,42,2,84,2,1,Manual,Manual,14,0
3025,299705,117217,188670,367,1,3,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,2,0
3026,299702,117213,188664,1513,1,17,34,190801,1,2,1,34,1.41421,48.0833,2,1,Manual,Manual,2.828429412,0
3029,299688,117196,188638,287,1,11,22,53821,1,1,1,22,1,22,2,1,Manual,Manual,2,0
3030,299685,117189,188628,409,1,7,14,190801,1,2,1,14,1.41421,19.799,2,1,Manual,Manual,2.828428571,0
3031,299677,117183,188621,720,1,4,8,242885,1,1,1,8,1,8,2,1,Manual,Manual,2,0
3038,299641,117144,188558,7809,1,21,42,404135,1,2,1,42,1.41421,59.397,2,1,Manual,Manual,2.828428571,0
3043,299617,117121,188514,879,1,15,45,299567,2,1,2,45,1.41421,63.6396,2,1,Manual,Manual,4.24264,0
3044,299615,117119,188511,10415,1,39,39,50866,1,1,1,39,1,39,2,1,Manual,Manual,1,0
3045,299584,117084,188466,976,1,30,60,190801,1,1,1,60,1,60,2,1,Manual,Manual,2,0
3052,299557,117055,188419,1127,1,30,60,53821,1,1,1,60,1,60,2,1,Manual,Manual,2,0
3053,299556,117054,188418,735,1,20,20,404135,1,1,1,20,1,20,2,1,Manual,Manual,1,0
3054,299554,117052,188414,2323,1,13,65,191061,1,2,3,65,2.44949,159.217,2,1,Manual,Manual,12.24746154,0
3057,299547,117045,188402,656,1,26,26,404135,1,1,1,26,1,26,2,1,Manual,Manual,1,0
3058,299539,117037,188389,1353,1,13,52,191061,1,2,2,52,2,104,2,1,Manual,Manual,8,0
3059,299533,117031,188378,1957,1,3,12,404135,2,1,2,12,1.41421,16.9706,2,1,Manual,Manual,5.656866667,0
3060,299529,117027,188370,611,1,5,15,242885,2,2,2,15,2,30,2,1,Manual,Manual,6,0
3061,299521,117019,188357,526,1,10,20,53821,1,1,1,20,1,20,2,1,Manual,Manual,2,0
3064,299510,117008,188341,2116,1,32,96,53821,2,1,2,96,1.41421,135.764,2,1,Manual,Manual,4.242625,0
3065,299503,117000,188327,1,1,12,12,191061,1,1,1,12,1,12,2,1,Manual,Manual,1,0
3066,299482,116977,188289,65,1,6,12,191061,1,2,2,12,2,24,2,1,Manual,Manual,4,0
3071,299467,116961,188265,1716,1,19,57,299565,1,2,1,57,1.41421,80.6102,2,1,Manual,Manual,4.242642105,0
3072,299460,116954,188252,663,1,13,26,53821,1,1,1,26,1,26,2,1,Manual,Manual,2,0
3075,299433,116923,188203,3077,1,18,36,404135,2,1,2,36,1.41421,50.9117,2,1,Manual,Manual,2.828427778,0
3080,299408,116894,188159,158,1,14,14,191061,1,1,1,14,1,14,2,1,Manual,Manual,1,0
3081,299400,116886,188142,1195,1,25,50,53821,2,1,2,50,1.41421,70.7107,2,1,Manual,Manual,2.828428,0
3082,299398,116884,188139,16,1,4,8,50866,1,1,1,8,1,8,2,1,Manual,Manual,2,0
3083,299369,116852,188089,722,1,3,6,242885,1,1,1,6,1,6,2,1,Manual,Manual,2,0
3086,299348,116830,188058,917,1,28,56,53821,1,1,1,56,1,56,2,1,Manual,Manual,2,0
3087,299321,116793,188003,4243,1,45,90,404135,1,1,1,90,1,90,2,1,Manual,Manual,2,0
3088,299312,116775,187975,2,1,42,42,53821,1,1,1,42,1,42,2,1,Manual,Manual,1,0
3089,299290,116752,187941,10,1,37,74,53821,1,2,1,74,1.41421,104.652,2,1,Manual,Manual,2.828432432,0
3092,299189,116635,187753,648,1,21,21,242885,1,1,1,21,1,21,2,1,Manual,Manual,1,0
3093,299188,116634,187752,255,1,7,14,242885,1,1,1,14,1,14,2,1,Manual,Manual,2,0
3094,299168,116610,187714,2295,1,15,45,191063,3,2,3,45,2.44949,110.227,2,1,Manual,Manual,7.348466667,0
3095,299164,116606,187706,104,1,7,14,53821,1,2,1,14,1.41421,19.799,2,1,Manual,Manual,2.828428571,0
3096,299107,116535,187592,506,1,21,21,53821,1,2,1,21,1.41421,29.6985,2,1,Manual,Manual,1.414214286,0
3097,299105,116533,187588,141,1,4,4,53821,1,2,1,4,1.41421,5.65685,2,1,Manual,Manual,1.4142125,0
3098,299037,116462,187475,805,1,10,10,242885,1,1,1,10,1,10,2,1,Manual,Manual,1,0
3103,298987,116403,187377,3743,1,32,96,179624,2,1,2,96,1.41421,135.764,2,1,Manual,Manual,4.242625,0
3106,298976,116391,187355,781,1,35,70,53821,1,1,1,70,1,70,2,1,Manual,Manual,2,0
3111,298934,116346,187284,681,1,4,12,53821,2,1,2,12,1.41421,16.9706,2,1,Manual,Manual,4.24265,0
3116,298887,116295,187205,873,1,17,34,242885,1,1,1,34,1,34,2,1,Manual,Manual,2,0
3119,298871,116279,187180,113,1,3,3,242885,1,1,1,3,1,3,2,1,Manual,Manual,1,0
3124,298819,116220,187098,1431,1,27,54,53821,1,1,1,54,1,54,2,1,Manual,Manual,2,0
3125,298808,116206,187077,423,1,6,12,53821,1,1,1,12,1,12,2,1,Manual,Manual,2,0
3126,298805,116203,187073,3212,1,27,54,299565,1,1,1,54,1,54,2,1,Manual,Manual,2,0
3129,298731,116128,186959,575,1,9,18,53821,1,1,1,18,1,18,2,1,Manual,Manual,2,0
3132,298676,116070,186871,827,1,10,20,242885,1,1,1,20,1,20,2,1,Manual,Manual,2,0
3133,298665,116059,186851,1454,1,14,56,53821,3,2,3,56,2.44949,137.171,2,1,Manual,Manual,9.797928571,0
3134,298653,116046,186832,1358,1,35,70,299567,2,1,2,70,1.41421,98.9949,2,1,Manual,Manual,2.828425714,0
3135,298621,116011,186783,156,1,3,3,53821,1,1,1,3,1,3,2,1,Manual,Manual,1,0
3136,298608,115995,186762,7,1,14,28,53821,1,1,1,28,1,28,2,1,Manual,Manual,2,0
3137,298592,115977,186734,312,1,4,8,53821,1,1,1,8,1,8,2,1,Manual,Manual,2,0
3142,298386,115748,186364,136,1,33,99,53821,2,2,2,99,2,198,2,1,Manual,Manual,6,0
3147,298339,115690,186266,264,1,4,4,53821,1,2,1,4,1.41421,5.65685,2,1,Manual,Manual,1.4142125,0
3148,298335,115686,186260,45,1,27,54,53821,1,2,3,54,2.44949,132.272,2,1,Manual,Manual,4.898962963,0
3151,298284,115628,186164,646,1,6,12,53821,1,1,1,12,1,12,2,1,Manual,Manual,2,0
3152,298239,115577,186083,1,1,9,18,53821,1,2,1,36,1.41421,50.9117,2,1,Manual,Manual,5.656855556,0
3159,298153,115475,185914,883,1,10,20,53821,1,1,1,20,1,20,2,1,Manual,Manual,2,0
3160,298036,115361,185744,1,1,30,60,53821,1,2,1,60,1.41421,84.8528,2,1,Manual,Manual,2.828426667,0
3165,297927,115244,185547,903,1,10,30,53821,2,2,2,30,2,60,2,1,Manual,Manual,6,0
3166,297829,115136,185371,1988,1,25,50,53821,2,1,2,50,1.41421,70.7107,2,1,Manual,Manual,2.828428,0
3171,297687,114980,185111,852,1,25,50,53821,1,1,1,50,1,50,2,1,Manual,Manual,2,0
3172,297651,114936,185047,316,1,9,9,53821,1,2,1,9,1.41421,12.7279,2,1,Manual,Manual,1.414211111,0
3175,297609,114893,184976,444,1,3,6,53821,2,2,2,6,2,12,2,1,Manual,Manual,4,0
3178,297591,114873,184946,455,1,5,5,53821,1,2,1,5,1.41421,7.07107,2,1,Manual,Manual,1.414214,0
3179,297556,114843,184902,214,1,3,6,179624,2,1,2,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
3182,297469,114755,184764,3774,1,22,88,179624,2,1,2,88,1.41421,124.451,2,1,Manual,Manual,5.656863636,0
3185,297409,114688,184659,7,1,8,32,53821,2,1,2,32,1.41421,45.2548,2,1,Manual,Manual,5.65685,0
3186,297317,114587,184503,861,1,19,38,179624,1,2,1,38,1.41421,53.7401,2,1,Manual,Manual,2.828426316,0
3187,297315,114585,184501,1943,1,6,12,179624,1,1,1,12,1,12,2,1,Manual,Manual,2,0
3190,297299,114569,184478,2384,1,16,48,53821,2,1,2,48,1.41421,67.8822,2,1,Manual,Manual,4.2426375,0
3191,297087,114326,184095,692,1,6,12,53821,1,1,1,12,1,12,2,1,Manual,Manual,2,0
3194,297001,114215,183917,1939,1,17,51,53821,2,2,2,51,2,102,2,1,Manual,Manual,6,0
3197,296947,114160,183830,2305,1,16,32,53821,1,1,1,32,1,32,2,1,Manual,Manual,2,0
3200,296942,114154,183822,531,1,10,10,179624,1,1,1,10,1,10,2,1,Manual,Manual,1,0
3203,296897,114106,183743,158,1,4,8,179624,1,1,1,8,1,8,2,1,Manual,Manual,2,0
3206,296845,114046,183648,1,1,18,36,53821,1,1,1,36,1,36,2,1,Manual,Manual,2,0
3209,296793,113988,183563,749,1,6,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,1,0
3210,296769,113960,183520,359,1,16,16,179624,1,1,1,16,1,16,2,1,Manual,Manual,1,0
3213,296736,113933,183481,3408,1,46,46,53821,1,1,1,46,1,46,2,0,Manual,Automatic,1,0
3216,296637,113833,183323,2136,1,18,36,53821,1,1,1,36,1,36,2,1,Manual,Manual,2,0
3225,296582,113773,183227,2651,1,30,120,179624,3,1,3,120,1.73205,207.846,2,1,Manual,Manual,6.9282,0
3228,296547,113735,183165,1639,1,14,56,179624,2,2,2,56,2,112,2,1,Manual,Manual,8,0
3231,296466,113642,183028,319,1,11,22,179624,1,1,1,22,1,22,2,1,Manual,Manual,2,0
3236,296426,113600,182962,443,1,11,22,179624,1,1,1,22,1,22,2,1,Manual,Manual,2,0
3237,296349,113517,182839,210,1,6,12,179624,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
3244,296282,113438,182717,854,1,7,14,179624,1,1,1,14,1,14,2,1,Manual,Manual,2,0
3245,296267,113423,182692,1602,1,30,60,53821,1,1,1,60,1,60,2,1,Manual,Manual,2,0
3246,296266,113422,182691,369,1,8,16,179624,1,1,1,16,1,16,2,1,Manual,Manual,2,0
3251,296136,113275,182452,112,1,3,3,179624,1,1,1,3,1,3,2,1,Manual,Manual,1,0
3254,296119,113254,182417,209,1,5,5,179624,1,1,1,5,1,5,2,1,Manual,Manual,1,0
3255,296112,113247,182407,753,1,12,24,179624,1,2,2,24,2,48,2,1,Manual,Manual,4,0
3256,296097,113230,182380,3005,1,45,90,179624,2,2,2,90,2,180,2,1,Manual,Manual,4,0
3261,296022,113145,182244,301,1,8,16,50866,1,1,1,16,1,16,2,1,Manual,Manual,2,0
3262,295974,113087,182158,378,1,4,12,179624,1,1,1,12,1,12,2,1,Manual,Manual,3,0
3265,295925,113035,182080,456,1,15,30,179624,1,1,1,30,1,30,2,1,Manual,Manual,2,0
3266,295920,113030,182071,1556,1,25,50,412145,1,1,1,50,1,50,2,1,Manual,Manual,2,0
3267,295889,112990,182010,962,1,20,40,179624,1,1,1,40,1,40,2,1,Manual,Manual,2,0
3268,295881,112977,181988,426,1,8,8,53821,1,2,1,8,1.41421,11.3137,2,1,Manual,Manual,1.4142125,0
3269,295869,112960,181958,1062,1,10,30,179624,2,2,2,30,2,60,2,1,Manual,Manual,6,0
3270,295838,112924,181898,8,1,3,9,53821,2,1,2,9,1.41421,12.7279,2,1,Manual,Manual,4.242633333,0
3271,295773,112853,181777,1,1,6,12,191061,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
3280,295573,112622,181423,806,1,7,7,53821,1,1,1,7,1,7,2,1,Manual,Manual,1,0
3285,295548,112588,181369,1439,1,14,28,53821,1,1,1,28,1,28,2,1,Manual,Manual,2,0
3286,295527,112567,181335,356,1,9,9,179624,1,2,1,9,1.41421,12.7279,2,1,Manual,Manual,1.414211111,0
3287,295482,112519,181262,1703,1,40,80,53821,1,2,1,80,1.41421,113.137,2,1,Manual,Manual,2.828425,0
3298,295240,112238,180800,434,1,3,3,179624,1,1,1,3,1,3,2,1,Manual,Manual,1,0
3307,295039,111999,180406,547,1,9,18,53821,1,1,1,18,1,18,2,1,Manual,Manual,2,0
3308,295033,111989,180387,373,1,9,18,179624,1,1,1,18,1,18,2,1,Manual,Manual,2,0
3311,294994,111942,180324,295,1,6,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,1,0
3316,294863,111788,180081,1095,1,12,12,53821,1,1,1,12,1,12,2,1,Manual,Manual,1,0
3317,294862,111787,180080,904,1,40,40,179624,1,1,1,40,1,40,2,1,Manual,Manual,1,0
3320,294808,111727,179985,1274,1,31,62,53821,1,1,1,62,1,62,2,1,Manual,Manual,2,0
3321,294796,111713,179967,1316,1,38,76,179624,1,1,1,76,1,76,2,1,Manual,Manual,2,0
3322,294775,111691,179931,198,1,3,6,179624,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
3325,294708,111613,179809,487,1,20,40,179624,1,1,1,40,1,40,2,1,Manual,Manual,2,0
3328,294634,111520,179655,4341,1,40,80,50866,2,1,2,80,1.41421,113.137,2,0,Manual,Automatic,2.828425,0
3329,294623,111508,179640,1978,1,71,71,179624,1,1,1,71,1,71,2,1,Manual,Manual,1,0
3332,294560,111438,179529,504,1,15,30,179624,1,2,1,30,1.41421,42.4264,2,1,Manual,Manual,2.828426667,0
3335,294529,111403,179472,1178,1,5,15,53821,2,2,2,15,2,30,2,1,Manual,Manual,6,0
3338,294432,111261,179243,206,1,3,6,242885,1,1,1,6,1,6,2,1,Manual,Manual,2,0
3339,294406,111233,179196,5,1,3,6,53821,1,1,1,6,1,6,2,1,Manual,Manual,2,0
3344,294361,111184,179123,174,1,6,12,53821,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
3349,294330,111151,179068,5,1,11,22,53821,1,2,1,22,1.41421,31.1127,2,1,Manual,Manual,2.828427273,0
3350,294326,111147,179063,3500,1,28,84,179624,2,1,2,84,1.41421,118.794,2,1,Manual,Manual,4.242642857,0
3353,294229,111040,178906,5107,1,53,212,53821,3,2,3,212,2.44949,519.292,2,0,Manual,Automatic,9.797962264,0
3354,294218,111028,178885,625,1,3,3,53821,1,1,1,3,1,3,2,1,Manual,Manual,1,0
3355,294205,111015,178864,269,1,3,6,179624,1,1,1,6,1,6,2,1,Manual,Manual,2,0
3356,294182,110992,178827,462,1,7,14,179624,1,2,1,14,1.41421,19.799,2,1,Manual,Manual,2.828428571,0
3357,294171,110981,178813,826,1,7,21,53821,2,1,2,21,1.41421,29.6985,2,1,Manual,Manual,4.242642857,0
3360,294126,110919,178710,304,1,4,12,53821,2,1,2,12,1.41421,16.9706,2,1,Manual,Manual,4.24265,0
