"","orderId","tab_id","dopa_id","runTime","tabsPerOrder","tab_tot_pcs","dopa_tot_imp","printer","dopa_tot_inks","dopas_per_tab","inks_per_tab","tot_imps_per_tab","tab_score_reg","tab_score_weighted","stationTypeId","good","actual","pred","WSPP"
"240",306238,124472,200025,1537,1,15,30,299568,2,1,2,30,1.41421,42.4264,2,1,"Manual","Manual",2.82842666666667
"241",306235,124469,200020,108,1,3,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",2
"242",306232,124460,200003,2029,1,6,12,404135,1,2,2,24,2,48,2,1,"Manual","Manual",8
"243",306232,124460,200004,2029,1,6,12,404135,1,2,2,24,2,48,2,1,"Manual","Manual",8
"244",306228,124456,199996,3625,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"245",306228,124456,199997,3625,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"246",306227,124455,199995,2624,1,20,40,299568,1,1,1,40,1,40,2,1,"Manual","Manual",2
"247",306224,124452,199991,675,1,8,16,299568,1,1,1,16,1,16,2,1,"Manual","Manual",2
"248",306218,124446,199982,2421,1,24,48,53821,1,2,2,96,2,192,2,1,"Manual","Manual",8
"249",306218,124446,199983,2421,1,24,48,53821,1,2,2,96,2,192,2,1,"Manual","Manual",8
"250",306214,124442,199977,2262,1,30,30,190801,1,1,1,30,1,30,2,1,"Manual","Manual",1
"251",306213,124441,199975,198,1,9,9,53821,1,2,2,18,2,36,2,1,"Manual","Manual",4
"252",306213,124441,199976,198,1,9,9,53821,1,2,2,18,2,36,2,1,"Manual","Manual",4
"253",306206,124434,199964,2490,1,14,42,53821,2,1,2,42,1.41421,59.397,2,1,"Manual","Manual",4.24264285714286
"254",306201,124429,199957,614,1,18,36,581359,1,2,2,72,2,144,2,1,"Manual","Manual",8
"255",306201,124429,199958,614,1,18,36,581359,1,2,2,72,2,144,2,1,"Manual","Manual",8
"256",306199,124426,199951,1946,1,6,6,581359,1,2,2,12,2,24,2,1,"Manual","Manual",4
"257",306199,124426,199952,1946,1,6,6,581359,1,2,2,12,2,24,2,1,"Manual","Manual",4
"258",306198,124425,199950,2188,1,5,10,562266,1,1,1,10,1,10,2,1,"Manual","Manual",2
"259",306197,124424,199949,965,1,3,6,404135,1,1,1,6,1,6,2,1,"Manual","Manual",2
"260",306196,124423,199948,792,1,9,18,404135,1,1,1,18,1,18,2,1,"Manual","Manual",2
"261",306192,124419,199942,6222,1,50,100,299568,1,2,2,200,2,400,2,0,"Manual","Automatic",8
"262",306192,124419,199943,6222,1,50,100,299568,1,2,2,200,2,400,2,0,"Manual","Automatic",8
"263",306191,124418,199940,479,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"264",306191,124418,199941,479,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"265",306186,124412,199934,596,1,20,20,299564,1,1,1,20,1,20,2,1,"Manual","Manual",1
"266",306184,124409,199928,2,1,8,8,191063,1,2,6,48,3.4641,166.277,2,1,"Manual","Manual",20.784625
"267",306184,124409,200443,2,1,8,40,191063,5,2,6,48,3.4641,166.277,2,1,"Manual","Manual",20.784625
"268",306182,124407,199926,276,1,5,5,404135,1,1,1,5,1,5,2,1,"Manual","Manual",1
"269",306180,124405,199923,659,1,6,6,53821,1,2,2,12,2,24,2,1,"Manual","Manual",4
"270",306180,124405,199924,659,1,6,6,53821,1,2,2,12,2,24,2,1,"Manual","Manual",4
"271",306179,124404,199921,6722,1,250,250,242865,1,2,2,500,2,1000,1,1,"Automatic","Automatic",4
"272",306179,124404,199922,6722,1,250,250,242865,1,2,2,500,2,1000,1,1,"Automatic","Automatic",4
"273",306177,124402,199917,40,1,11,33,50866,2,2,4,66,2.82843,186.676,2,1,"Manual","Manual",16.9705454545455
"274",306177,124402,199918,40,1,11,33,50866,2,2,4,66,2.82843,186.676,2,1,"Manual","Manual",16.9705454545455
"275",306173,124398,199912,2721,1,15,30,404135,2,1,2,30,1.41421,42.4264,2,1,"Manual","Manual",2.82842666666667
"276",306157,124381,199885,3290,1,60,120,530375,1,2,2,240,2,480,2,0,"Manual","Automatic",8
"277",306157,124381,199886,3290,1,60,120,530375,1,2,2,240,2,480,2,0,"Manual","Automatic",8
"278",306149,124372,199875,2403,1,50,50,299568,1,2,2,100,2,200,2,1,"Manual","Manual",4
"279",306149,124372,199876,2403,1,50,50,299568,1,2,2,100,2,200,2,1,"Manual","Manual",4
"280",306148,124371,199873,6121,1,35,70,179623,2,2,4,140,2.82843,395.98,2,1,"Manual","Manual",11.3137142857143
"281",306148,124371,199874,6121,1,35,70,179623,2,2,4,140,2.82843,395.98,2,1,"Manual","Manual",11.3137142857143
"282",306147,124370,199868,1484,1,3,6,541683,1,2,1,6,1.41421,8.48528,2,1,"Manual","Manual",2.82842666666667
"283",306145,124368,199865,1594,1,10,20,191063,1,1,1,20,1,20,2,1,"Manual","Manual",2
"284",306142,124366,199862,5127,1,10,40,404135,5,1,5,40,2.23607,89.4427,2,1,"Manual","Manual",8.94427
"285",306141,124365,199860,6723,1,25,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",8
"286",306141,124365,199861,6723,1,25,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",8
"287",306136,124360,199851,4298,1,50,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",4
"288",306136,124360,199852,4298,1,50,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",4
"289",306134,124357,199848,1333,1,35,70,53821,1,1,1,70,1,70,2,1,"Manual","Manual",2
"290",306132,124355,199844,3876,1,50,100,562266,2,2,4,200,2.82843,565.685,2,0,"Manual","Automatic",11.3137
"291",306132,124355,199845,3876,1,50,100,562266,2,2,4,200,2.82843,565.685,2,0,"Manual","Automatic",11.3137
"292",306126,124348,199833,4057,1,16,112,191063,4,1,4,112,2,224,2,1,"Manual","Manual",14
"293",306124,124346,199829,1763,1,9,27,50866,2,2,2,27,2,54,2,1,"Manual","Manual",6
"294",306122,124344,199827,732,1,4,8,299568,1,1,1,8,1,8,2,1,"Manual","Manual",2
"295",306119,124341,199823,1968,1,50,100,490995,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"296",306119,124341,199824,1968,1,50,100,490995,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"297",306118,124340,199822,694,1,24,48,299564,1,1,1,48,1,48,2,1,"Manual","Manual",2
"298",306116,124339,199820,2156,1,25,25,541683,1,2,2,50,2,100,2,1,"Manual","Manual",4
"299",306116,124339,199821,2156,1,25,25,541683,1,2,2,50,2,100,2,1,"Manual","Manual",4
"300",306113,124336,199817,2369,1,18,36,530373,1,1,1,36,1,36,2,1,"Manual","Manual",2
"301",306112,124335,199815,1798,1,3,6,191063,1,2,2,12,2,24,2,1,"Manual","Manual",8
"302",306112,124335,199816,1798,1,3,6,191063,1,2,2,12,2,24,2,1,"Manual","Manual",8
"303",306110,124333,199812,2028,1,12,12,191063,1,2,3,36,2.44949,88.1816,2,1,"Manual","Manual",7.34846666666667
"304",306110,124333,199813,2028,1,12,24,191063,2,2,3,36,2.44949,88.1816,2,1,"Manual","Manual",7.34846666666667
"305",306108,124330,199808,2022,1,11,11,404135,1,2,2,22,2,44,2,1,"Manual","Manual",4
"306",306108,124330,199809,2022,1,11,11,404135,1,2,2,22,2,44,2,1,"Manual","Manual",4
"307",306107,124329,199806,1760,1,6,12,404135,1,2,3,30,2.44949,73.4847,2,1,"Manual","Manual",12.24745
"308",306107,124329,199807,1760,1,6,18,404135,2,2,3,30,2.44949,73.4847,2,1,"Manual","Manual",12.24745
"309",306097,124314,199785,3615,1,25,50,179624,1,2,2,100,2,200,2,1,"Manual","Manual",8
"310",306097,124314,199786,3615,1,25,50,179624,1,2,2,100,2,200,2,1,"Manual","Manual",8
"311",306096,124313,199783,7335,1,33,66,581359,2,2,5,132,3.16228,417.421,2,1,"Manual","Manual",12.6491212121212
"312",306096,124313,199784,7335,1,33,66,581359,3,2,5,132,3.16228,417.421,2,1,"Manual","Manual",12.6491212121212
"313",306092,124309,199778,1779,1,24,72,299568,2,1,2,72,1.41421,101.823,2,1,"Manual","Manual",4.242625
"314",306090,124307,199775,3512,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"315",306090,124307,199776,3512,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"316",306082,124299,199763,1055,1,19,57,191063,2,1,2,57,1.41421,80.6102,2,1,"Manual","Manual",4.24264210526316
"317",306080,124296,199760,6501,1,27,81,541683,2,2,3,81,2.44949,198.409,2,1,"Manual","Manual",7.34848148148148
"318",306079,124295,199757,943,1,16,32,191063,1,2,1,32,1.41421,45.2548,2,1,"Manual","Manual",2.828425
